Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,0.50999999,0,0,11,3,0,0,0,0.080600001,3,0
1984,0.25,0,0,3,1,0,0,0,0.0033,3,0
1985,0.270000011,0,0,8,2,0,0,0,0.0302,3,0
1986,0.289999992,0,0,17,2,0,0,0,0.0534,3,0
1987,0.699999988,0,0.026999999,18,9,0,0,0,0.2136,3,0
1988,0.839999974,0,0.029999999,17,9,0,0,0,0.2132,3,0
1989,0.109999999,0,0.01,15,2,0,0,0,0.0834,3,0
1990,0.01,0,0,1,0,0,0,0,0,1,0
1991,3.390000105,0,0,11,7,3,0,0,0.827600009,3,0
1992,10.43000031,0,0,10,9,4,1,0,1.115699968,3,0
1993,1.120000005,0,0,8,4,2,0,0,0.433399987,3,0
1994,17.61000061,0,1.003999996,18,27,18,2,0,7.601799927,3,0
1995,3.99000001,0,0,15,10,7,0,0,1.684199984,3,0
1996,1.159999967,0,0,14,10,1,0,0,0.789600002,3,0
1997,1.970000029,0,0,16,11,4,0,0,1.297599995,3,0
1998,0.330000013,0,0,4,1,0,0,0,0.01,2,0
1999,1.779999971,0,0,10,7,1,0,0,0.557200009,3,0
2000,0.01,0,0,1,0,0,0,0,0,1,0
2001,1.210000038,0,0,5,4,3,0,0,0.624600005,3,0
2002,13.34000015,0,0.02,16,16,3,1,0,0.954800005,3,0
2003,4.739999771,0,0.02,16,16,6,0,0,1.150600016,3,0
2004,3.339999914,0,0,7,5,3,0,0,0.637999986,3,0
2005,4.849999905,0,0.007,18,7,3,0,0,0.954600005,3,0
2006,3.130000114,0,0,17,11,8,0,0,2.20780004,3,0
2007,6.340000153,0,0,15,14,5,0,0,1.746800005,3,0
2008,1.700000048,0,0,13,8,1,0,0,0.502699997,3,0
2009,0.270000011,0,0,3,2,0,0,0,0.0136,3,0
2010,17.32999992,0,0,12,10,5,1,0,2.070200019,3,0
2011,0.389999986,0,0,3,2,0,0,0,0.0034,3,0
2012,0.49000001,0,0,6,2,0,0,0,0.039899999,3,0
2013,11.39999962,0,0,6,5,2,1,0,0.292200001,3,0
2014,7.369999886,0,0.014,18,17,7,0,0,2.662400012,3,0
