Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,7,0,0,16,8,3,0,0,0.839399997,3,0
1984,0.270000011,0,0,2,1,0,0,0,0,2,0
1985,1.24000001,0,0,10,4,1,0,0,0.472000009,3,0
1986,0.779999971,0,0,17,8,0,0,0,0.383600002,3,0
1987,2.650000095,0,0,14,9,4,0,0,1.308200026,3,0
1988,94.51000214,1,0.01,17,14,9,5,3,19.94109972,3,0
1989,2.720000029,0,0.036999999,18,15,5,0,0,1.326800046,3,0
1990,0.660000026,0,0,4,2,0,0,0,0.0304,3,0
1991,8.850000381,0,0,11,8,3,0,0,1.234399983,3,0
1992,7.210000038,0,0.049,18,16,5,0,0,2.280599965,3,0
1993,9.829999924,0,0.656999993,18,23,15,0,0,5.858999834,3,0
1994,5.980000019,0,0.427000001,18,24,12,0,0,4.765199986,3,0
1995,24.39999962,0,0.361000007,18,24,15,2,1,7.494199848,3,0
1996,17.79999924,0,0.856500018,18,28,15,2,0,8.3254,3,0
1997,11.22999954,0,0.066000002,18,17,8,1,0,3.973599954,3,0
1998,2.930000067,0,0,16,12,5,0,0,1.710800045,3,0
1999,3.25999999,0,0,9,4,1,0,0,0.103400001,3,0
2000,9.430000305,0,0.0465,18,13,4,0,0,1.42499999,3,0
2001,13.65999985,0,0.612999994,18,33,13,1,0,7.884600115,3,0
2002,22.54000092,0,0.859999996,18,29,15,2,1,7.621199884,3,0
2003,18.45000076,0,1.841000044,18,45,19,2,0,8.033999977,3,0
2004,11.76000023,0,0.5045,18,22,15,1,0,6.699100204,3,0
2005,8.819999695,0,0.241,18,23,14,0,0,7.54340004,3,0
2006,16.01000023,0,0.236999997,18,40,13,2,0,8.3597999,3,0
2007,22.45000076,0,0.212000003,18,21,11,1,1,5.279600153,3,0
2008,2.980000019,0,0.022999999,18,14,2,0,0,0.816400016,3,0
2009,26.90999985,0,0,15,10,7,1,1,3.254000082,3,0
2010,16,0,0.091000001,18,18,4,1,0,2.574599934,3,0
2011,1.100000024,0,0.007,18,6,1,0,0,0.543599979,3,0
2012,18.82999992,0,0,16,12,7,2,0,2.883799949,3,0
2013,1.850000024,0,0,16,11,5,0,0,1.394000022,3,0
2014,11.84000015,0,0.007,18,10,8,2,0,8.376400204,3,0
