Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,20.92000008,0,3.015999985,18,52,28,1,1,8.98120018,3,0
1984,42.97999954,2,2.695999968,18,51,28,7,4,24.35259964,3,0
1985,40.45999908,1,5.078999996,18,68,42,9,3,20.64020035,3,0
1986,19.53000069,0,3.594000006,18,55,37,4,0,12.34980015,3,0
1987,59.81999969,5,5.734999895,18,75,42,13,6,36.41000168,3,0
1988,54.47999954,1,3.869000041,18,70,38,6,1,14.24489976,3,0
1989,25.64999962,0,4.184999895,18,67,38,9,2,19.6830003,3,0
1990,51.61000061,1,1.784999967,18,43,23,4,1,12.07220036,3,0
1991,23.77000046,0,3.073000026,18,49,27,4,1,12.48199997,3,0
1992,15.72000027,0,2.109499896,18,63,28,4,0,10.49520032,3,0
1993,41.45999908,1,4.179000163,18,47,34,6,4,22.51140022,3,0
1994,15.61999989,0,3.295000052,18,68,38,5,0,11.70720028,3,0
1995,38.33000183,2,5.684000063,18,64,41,11,4,24.64559959,3,0
1996,87.19999695,4,6.990499926,18,64,45,9,8,30.58910015,3,0
1997,48.90000153,3,5.395000029,18,74,34,11,6,27.89459934,3,0
1998,18.57999992,0,3.917000008,18,66,38,6,0,16.74539986,3,0
1999,12.89999962,0,0.267000005,18,29,8,1,0,2.548399968,3,0
2000,31.07999992,1,2.829999924,17,72,31,6,1,14.48879992,3,0
2001,22.64999962,0,2.517999983,18,102,51,4,1,12.71579966,3,0
2002,57.31999969,2,3.799999952,18,68,35,8,5,23.30499931,3,0
2003,42.38999939,2,3.790999961,18,75,42,7,3,18.75380026,3,0
2004,48.04999924,2,4.663999844,18,77,42,8,3,20.00199974,3,0
2005,45.63999939,1,2.537999964,18,74,38,5,2,14.11820013,3,0
2006,64.95999908,9,8.203999805,18,97,57,17,12,49.28480057,3,0
2007,76.33999634,2,8.097000313,18,80,46,14,3,21.66140015,3,0
2008,54.81999969,1,2.635999942,18,81,36,2,1,8.449000206,3,0
2009,28.78000069,0,2.631000042,18,55,28,2,1,8.361999989,3,0
2010,34.95000076,1,6.733999777,18,69,38,9,1,15.13680012,3,0
2011,41.41999817,1,4.457000065,18,48,27,9,3,18.62300045,3,0
2012,40.09999847,2,7.43149991,18,72,40,11,4,27.99210049,3,0
2013,34.29999924,1,2.594000077,18,46,24,4,2,13.36280022,3,0
2014,23.67000008,0,4.645999861,18,67,44,7,3,18.5019997,3,0
