Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,28.89999962,0,2.323999929,18,37,23,3,1,9.771399746,3,0
1984,14.76000023,0,0.994499999,18,24,18,2,0,6.73350009,3,0
1985,16.71999931,0,2.270999908,18,39,24,5,0,14.67560032,3,0
1986,23.12999916,0,2.267999983,18,49,32,2,1,7.712400036,3,0
1987,20.59000015,0,1.606999981,18,49,23,3,1,10.45879997,3,0
1988,32.95000076,1,3.859500122,18,43,27,4,2,12.62430043,3,0
1989,19,0,2.928999996,18,51,27,6,0,11.91440025,3,0
1990,17.42000008,0,1.920000005,18,39,23,5,0,10.49360033,3,0
1991,45.52999878,4,5.846000004,18,65,42,12,7,32.24180038,3,0
1992,25.13999939,0,5.396999931,18,71,40,13,3,20.35240021,3,0
1993,51.65999985,2,7.337999916,18,78,55,12,5,25.4992004,3,0
1994,27.62999916,0,4.211999965,18,66,38,9,2,18.30579979,3,0
1995,36.61000061,1,7.939999819,18,73,51,10,4,25.76199947,3,0
1996,37.40999985,2,8.22299993,18,66,42,14,4,23.62169931,3,0
1997,65.47000122,2,10.15000038,18,75,54,18,6,27.94059975,3,0
1998,55.81999969,5,9.969999886,18,69,45,18,11,37.07380127,3,0
1999,88.52999878,7,7.432999849,18,49,37,14,10,55.67460114,3,0
2000,49.27000046,4,4.616499972,18,66,44,11,5,32.0345998,3,0
2001,42.43000031,3,4.747000027,18,70,36,8,5,29.7655999,3,0
2002,78.12999725,6,7.482999945,18,68,45,12,6,41.51899986,3,0
2003,63.61999893,7,13.55500002,18,73,54,25,10,41.69280014,3,0
2004,57.45000076,5,9.467000103,18,58,43,17,7,31.8184997,3,0
2005,40.08000183,3,7.090999794,18,56,33,13,5,29.58240025,3,0
2006,75.11000061,4,10.65699978,18,83,55,20,8,30.94120037,3,0
2007,39.86999893,1,8.392000055,18,55,41,12,4,25.68639992,3,0
2008,41.34000015,2,5.365500045,18,65,41,11,4,24.51939957,3,0
2009,22.18000031,0,7.351000071,18,55,37,14,3,20.10219967,3,0
2010,49.13000107,1,7.310000038,18,70,47,13,3,19.40540051,3,0
2011,65.48000336,5,4.924000072,18,55,34,8,5,33.1686005,3,0
2012,37.22999954,1,6.659499931,18,66,48,10,4,22.53839994,3,0
2013,38.90000153,2,6.49700017,18,71,50,11,2,18.51800007,3,0
2014,35.20000076,1,4.706000042,18,65,39,11,4,23.37920013,3,0
