Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,7.239999771,0,0.107999998,18,18,8,0,0,3.254399924,3,0
1984,2.779999971,0,0,15,15,1,0,0,0.639499986,3,0
1985,10.65999985,0,0.404999992,18,26,12,1,0,5.05080019,3,0
1986,5.900000095,0,0.168000005,18,19,8,0,0,2.740599937,3,0
1987,12.57999992,0,0.591000015,18,37,13,1,0,4.500400019,3,0
1988,30.52000046,1,1.319499969,18,34,19,3,1,7.764699974,3,0
1989,1.99000001,0,0,17,13,3,0,0,0.971999989,3,0
1990,9.5,0,0,11,4,3,0,0,0.58220001,3,0
1991,64.20999908,1,0.044,18,16,6,1,1,2.929400017,3,0
1992,6.099999905,0,0.976000002,18,31,16,0,0,4.846600146,3,0
1993,13.43999958,0,0.446999997,18,29,12,2,0,4.717799797,3,0
1994,9,0,0.61400001,18,36,12,0,0,3.482800026,3,0
1995,16.72999954,0,0.699000013,18,30,13,2,0,3.724200044,3,0
1996,28.72999954,0,0.779999971,17,33,15,3,2,8.236100001,3,0
1997,17.18000031,0,1.154999971,18,44,21,2,0,7.0848001,3,0
1998,15.93000031,0,0.331000003,18,24,13,2,0,5.881600113,3,0
1999,7.400000095,0,0.01,16,10,5,0,0,1.720600035,3,0
2000,4.849999905,0,0.209999993,17,21,6,0,0,2.011899984,3,0
2001,3.369999886,0,0.171999999,18,18,9,0,0,2.738400016,3,0
2002,4.670000076,0,0.247999993,18,24,12,0,0,3.181000066,3,0
2003,7.03000021,0,0.488999993,18,30,15,0,0,3.738400092,3,0
2004,3.839999914,0,0.306500006,18,22,7,0,0,2.2473,3,0
2005,8.529999733,0,0.833999979,18,40,15,0,0,3.853999987,3,0
2006,7.880000114,0,0.516999984,18,34,14,0,0,3.82420001,3,0
2007,13.85000038,0,0.026999999,18,14,5,1,0,3.26079999,3,0
2008,11.23999977,0,0.01,15,10,3,1,0,0.888500025,3,0
2009,6.260000229,0,0.017,18,9,4,0,0,1.087199957,3,0
2010,7.179999828,0,0.416000003,18,30,13,0,0,3.193599982,3,0
2011,55.25999832,1,0.236999997,18,21,9,1,1,4.705400133,3,0
2012,2.390000105,0,0,12,11,1,0,0,0.639499986,3,0
2013,1.100000024,0,0,17,6,1,0,0,0.529999971,2,0
2014,21.46999931,0,1.617000008,18,47,26,2,1,6.852000065,3,0
