Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,3.420000076,0,0.787000006,18,47,16,0,0,2.993600006,3,0
1984,14.09000015,0,0.779500011,18,46,14,1,0,2.479100099,3,0
1985,38.20999908,1,1.705000007,18,60,26,1,1,5.478799944,3,0
1986,5.889999866,0,0.61400001,18,39,13,0,0,2.633199959,3,0
1987,10.84000015,0,1.195000017,18,60,24,1,0,3.441199989,3,0
1988,133.9900055,1,0.925499991,18,52,17,2,1,8.369599962,3,0
1989,5.480000019,0,0.473999995,18,34,10,0,0,3.689799905,3,0
1990,7.849999905,0,0.079999998,17,17,5,0,0,3.871799979,3,0
1991,5.559999943,0,0.594000012,18,35,10,0,0,2.122199965,3,0
1992,8.590000153,0,1.246500003,18,40,21,0,0,3.942499974,3,0
1993,20.43000031,0,0.879000002,18,43,15,2,1,6.932200146,3,0
1994,13.59000015,0,0.874000001,18,60,14,1,0,6.298200045,3,0
1995,17.20999908,0,0.807000005,18,54,14,1,0,4.120199976,3,0
1996,14.13000011,0,0.981999996,18,52,18,2,0,8.59130023,3,0
1997,51.18000031,1,2.847000074,18,81,37,5,2,16.04520046,3,0
1998,23.25,0,0.568999976,18,37,12,1,1,5.461799974,3,0
1999,5.170000076,0,0.380999994,18,37,11,0,0,2.887800031,3,0
2000,7.659999847,0,1.065000015,18,51,18,0,0,4.442000051,3,0
2001,22.06999969,0,1.036999965,18,60,19,1,1,4.245400095,3,0
2002,12.30000019,0,0.668000001,18,50,14,1,0,3.049400034,3,0
2003,7.71999979,0,0.844000012,18,47,16,0,0,4.777799816,3,0
2004,8.930000305,0,1.012999988,18,60,18,0,0,6.236200089,3,0
2005,16.38999939,0,2.867999911,18,70,28,1,0,5.836199999,3,0
2006,9.569999695,0,1.331000006,18,60,20,0,0,4.098199987,3,0
2007,8.050000191,0,0.871000004,18,47,16,0,0,3.393600025,3,0
2008,11.14000034,0,0.292499998,18,29,8,1,0,4.369799886,3,0
2009,4.679999828,0,0.421000007,18,35,10,0,0,3.14759994,3,0
2010,9.140000343,0,0.927999991,18,40,16,0,0,3.107799978,3,0
2011,42.38999939,1,0.756999993,18,52,14,1,1,4.220600109,3,0
2012,14.77999973,0,0.51900001,18,40,9,1,0,2.876500032,3,0
2013,2.650000095,0,0.221000004,18,31,2,0,0,0.936800001,3,0
2014,24.57999992,0,1.650000024,18,64,23,2,2,7.360999908,3,0
