Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,3.109999895,0,0.191999999,17,19,4,0,0,1.58639997,3,9
1984,2.019999981,0,0,5,5,1,0,0,0.548000002,2,126
1985,4.840000153,0,0.200000003,16,21,8,0,0,2.647099986,3,18
1986,5.159999847,0,0.615999988,16,31,14,0,0,4.067199807,3,38
1987,10.02000046,0,0.547500014,17,35,15,1,0,4.280500102,3,20
1988,17.06999969,0,1.377000016,16,49,22,3,0,10.05969993,3,29
1989,3.390000105,0,0.5625,16,37,9,0,0,2.654500017,3,34
1990,5.260000229,0,0,15,15,3,0,0,0.975999966,3,33
1991,2.900000095,0,0.189499998,18,23,6,0,0,1.389900006,3,4
1992,13.93000031,0,0.620000005,16,36,12,1,0,3.975999975,3,36
1993,3.069999933,0,0.522499979,16,41,10,0,0,2.571500033,3,30
1994,13.36999989,0,0.849000019,18,54,16,1,0,6.00319994,3,3
1995,15.19999981,0,1.5,18,54,22,1,0,5.360800037,3,1
1996,4.539999962,0,1.079999998,18,48,18,0,0,2.504000092,3,1
1997,4.900000095,0,1.062000024,18,57,19,0,0,2.725000029,3,0
1998,6.340000153,0,0.853000003,18,53,15,0,0,3.93180007,3,0
1999,14.18000031,0,1.652499974,18,66,24,1,0,5.493400121,3,2
2000,4.329999924,0,0,17,17,5,0,0,1.826100006,3,0
2001,4.03000021,0,0.41099999,18,36,8,0,0,1.578000007,3,0
2002,13.73999977,0,0.424999994,18,29,10,1,0,3.161199937,3,0
2003,8.18999958,0,1.038999963,18,40,18,0,0,3.249799929,3,0
2004,6.489999771,0,0.252999992,18,26,2,0,0,0.826400006,3,0
2005,10.38000011,0,0.776999974,18,51,13,1,0,4.699200058,3,0
2006,5.599999905,0,0.794,18,54,15,0,0,3.993999853,3,0
2007,7,0,1.029999983,17,40,18,0,0,4.707400064,3,7
2008,3.049999952,0,0.458000007,18,33,9,0,0,2.432000008,3,4
2009,11.31999969,0,0.524999999,18,34,12,2,0,5.413999867,3,0
2010,3.549999952,0,0.665000007,18,41,11,0,0,2.979999948,3,0
2011,13.18000031,0,0.207499996,18,24,5,1,0,3.461000037,3,0
2012,3.180000067,0,0.230000004,17,25,9,0,0,2.43,3,2
2013,23.38999939,0,0.807000005,18,43,16,2,1,3.848200002,3,0
2014,7.949999809,0,0.922499985,18,71,16,0,0,5.176999998,3,0
