Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,19.62999916,0,7.319999981,17,111,71,12,0,17.16960052,3,9
1984,14.85000038,0,5.489999771,11,66,44,3,0,10.25799999,2,126
1985,24.59000015,0,9.55199995,17,131,82,13,1,15.05539996,3,18
1986,22.45000076,0,8.893500185,16,106,77,12,3,19.68970059,3,38
1987,23.92000008,0,9.327500343,17,125,78,13,1,16.0375001,3,20
1988,25.57999992,0,13.30750022,16,138,97,28,4,23.33799994,3,29
1989,21.14999962,0,10.58600011,16,129,91,20,1,18.32350037,3,34
1990,17.89999962,0,7.08399992,16,125,71,9,0,15.75080032,3,33
1991,33.16999817,1,8.059000397,18,138,87,13,4,22.74820059,3,4
1992,20.77000046,0,10.625,16,150,97,18,1,17.99700031,3,36
1993,22.65999985,0,8.582499743,16,124,81,10,1,15.84399934,3,30
1994,21.31999969,0,11.3909996,18,143,95,24,2,17.39980007,3,3
1995,32.52000046,2,11.07800026,18,140,91,20,3,20.02719955,3,1
1996,19.98999977,0,8.707499743,18,152,99,14,0,13.53049998,3,1
1997,23.59000015,0,10.40900002,18,151,101,19,3,20.08139969,3,0
1998,30.18000031,1,10.32699986,18,132,96,20,6,24.73579994,3,0
1999,30.98999977,1,9.978999949,18,153,109,17,2,17.93019989,3,2
2000,23.68000031,0,9.806999922,18,145,100,18,1,16.7706999,3,0
2001,28.42000008,0,8.607999897,18,129,89,13,2,16.81380028,3,0
2002,24.62999916,0,10.05999985,18,125,87,18,1,15.91339993,3,0
2003,23.21999931,0,9.501000023,18,131,83,16,3,19.90199963,3,0
2004,21.31999969,0,9.334499836,18,138,85,15,2,16.6657,3,0
2005,25.95999908,0,10.63299999,18,137,92,19,3,19.00960056,3,0
2006,26.86000061,0,11.37999973,18,153,110,24,2,18.92360001,3,0
2007,26.63999939,0,14.19399986,17,137,95,30,4,22.53059921,3,7
2008,20.87000084,0,12.1449996,18,138,92,24,1,18.00599953,3,4
2009,22.54999924,0,9.045000315,18,133,88,16,2,16.90649958,3,0
2010,21.69000053,0,8.764999866,18,142,92,15,1,15.11699982,3,0
2011,32.59000015,2,11.30500031,18,124,90,22,4,26.53949986,3,0
2012,31.48999977,1,10.81600018,18,134,83,21,6,25.32160057,3,2
2013,32.36999893,1,10.25900011,18,144,92,18,2,17.1959996,3,0
2014,32.59999847,2,10.82499981,18,181,109,21,5,22.87550049,3,0
