Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,1.309999943,0,0,9,9,2,0,0,0.742400012,3,9
1984,0.439999998,0,0,2,2,0,0,0,0.090000004,2,126
1985,1.129999995,0,0,8,8,1,0,0,0.365899995,3,18
1986,5.75,0,0,12,12,1,0,0,0.689199998,3,38
1987,0.439999998,0,0,6,6,0,0,0,0.289500005,3,20
1988,3.890000105,0,0,15,15,5,0,0,2.044899993,3,29
1989,2.430000067,0,0,6,6,1,0,0,0.193800004,3,34
1990,1.470000029,0,0,4,4,3,0,0,0.83480001,3,33
1991,1.149999976,0,0,7,7,2,0,0,0.621599987,3,4
1992,1.690000057,0,0,9,9,3,0,0,1.071000028,3,36
1993,0.600000024,0,0,5,5,0,0,0,0.394499999,3,30
1994,22.81999969,0,0,15,15,8,1,1,2.777199917,3,3
1995,0.529999971,0,0,7,7,0,0,0,0.384400002,3,1
1996,0.560000002,0,0,8,8,0,0,0,0.497000003,3,1
1997,2.769999981,0,0,9,9,2,0,0,0.820799973,3,0
1998,5.139999866,0,0,12,12,5,0,0,1.520199981,3,0
1999,3.019999981,0,0,15,15,3,0,0,1.008400005,3,2
2000,1.820000052,0,0,11,11,1,0,0,0.633200012,3,0
2001,1.799999952,0,0,2,2,1,0,0,0,2,0
2002,1.00999999,0,0,2,2,1,0,0,0,2,0
2003,6.630000114,0,0,4,4,1,0,0,0.438800001,3,0
2004,0.319999993,0,0,1,1,0,0,0,0,1,0
2005,2.599999905,0,0,12,12,2,0,0,0.602200004,3,0
2006,0.5,0,0,5,5,0,0,0,0.233799996,3,0
2007,5.400000095,0,0.342000005,17,20,9,0,0,3.648000059,3,7
2008,0.270000011,0,0,6,6,0,0,0,0.185199999,3,4
2009,5.050000191,0,0,10,10,5,0,0,1.803499949,3,0
2010,17.20000076,0,0.437500007,18,28,13,1,0,2.430499995,3,0
2011,1.649999976,0,0,8,8,2,0,0,0.825000009,3,0
2012,3.720000029,0,0,12,12,1,0,0,0.33679999,3,2
2013,2.829999924,0,0.177000006,18,21,5,0,0,1.363600011,3,0
2014,3.549999952,0,0.289999992,17,30,5,0,0,1.7565,3,0
