Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,35.91999817,1,4.389999962,17,84,50,3,2,14.13879967,3,9
1984,13.14999962,0,2.559999943,11,51,22,1,0,6.915999985,2,126
1985,20.90999985,0,4.076000166,17,88,51,2,1,8.510600243,3,18
1986,18.62999916,0,5.36149981,16,88,57,6,0,12.4403001,3,38
1987,23.17000008,0,4.925000072,17,104,49,7,2,16.98350067,3,20
1988,18.46999931,0,8.766499949,16,105,71,12,0,16.96090073,3,29
1989,24.86000061,0,6.841000128,16,111,61,7,1,13.55240037,3,34
1990,11.43000031,0,4.306000042,16,96,50,3,0,9.814000359,3,33
1991,25.87000084,0,4.311000156,18,98,48,3,1,10.45349985,3,4
1992,21.79000092,0,7.045000076,16,95,62,6,1,14.98799963,3,36
1993,21.01000023,0,8.549999952,16,106,63,13,1,14.71949978,3,30
1994,32.27999878,1,7.252000141,18,108,76,11,2,15.35479973,3,3
1995,21.43000031,0,7.496000004,18,122,77,10,1,16.61319954,3,1
1996,25.28000069,0,6.537500024,18,117,66,9,1,13.18549976,3,1
1997,23.17000008,0,5.035000134,18,130,76,7,1,15.81640011,3,0
1998,21.19000053,0,8.30199995,18,112,68,12,2,18.55579987,3,0
1999,32.40000153,2,8.394000363,18,128,79,15,5,23.22829945,3,2
2000,19.84000015,0,5.215000033,18,114,61,5,0,10.80179971,3,0
2001,15.36999989,0,7.428000069,18,114,63,9,0,13.25720039,3,0
2002,15.25,0,6.28900013,18,96,57,6,0,13.35059959,3,0
2003,38.61999893,1,5.944000149,18,106,63,9,2,18.47040028,3,0
2004,15.06000042,0,4.998500156,18,103,66,7,0,13.62460004,3,0
2005,16.36000061,0,4.25899992,18,109,63,5,0,13.10740023,3,0
2006,21.79000092,0,7.080999851,18,119,78,7,2,15.50740007,3,0
2007,34.5,1,12.60800018,17,100,76,23,2,18.93779961,3,7
2008,15.89999962,0,5.976999998,18,121,73,9,0,11.76540031,3,4
2009,31.96999931,1,4.550000072,18,102,59,8,1,11.80499992,3,0
2010,10.57999992,0,5.102499843,18,117,65,2,0,9.428499842,3,0
2011,23.42000008,0,5.714999914,18,100,60,9,1,14.52850041,3,0
2012,15.39000034,0,6.137999916,18,114,64,8,0,12.88600002,3,2
2013,26.56999969,0,6.026000071,18,116,56,9,2,15.4620002,3,0
2014,19.62999916,0,7.567500114,18,147,87,10,0,14.39249973,3,0
