Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,11.40999985,0,2.269999981,17,67,32,2,0,7.879200287,3,9
1984,20.04999924,0,1.50999999,10,33,14,1,1,6.66400013,2,126
1985,15.27000046,0,3.172500074,17,79,52,6,0,11.49059978,3,18
1986,23.10000038,0,5.65150001,16,77,46,7,1,13.53310023,3,38
1987,15.89999962,0,5.182500124,17,81,47,4,0,10.81650009,3,20
1988,25.77000046,0,4.212999868,16,81,53,8,1,13.7369,3,29
1989,18.57999992,0,4.986999989,16,80,43,7,0,14.19900002,3,34
1990,7.559999943,0,2.145999956,16,60,24,0,0,5.950000134,3,33
1991,15.63000011,0,3.670000076,17,66,33,8,0,14.6456001,3,4
1992,16.25,0,4.210000038,16,73,44,4,0,12.00000019,3,36
1993,12.23999977,0,2.482500076,16,92,45,1,0,6.659999824,3,30
1994,24.76000023,0,5.531000137,18,83,57,9,1,16.00340027,3,3
1995,16.07999992,0,4.68200016,18,81,49,5,0,11.15680004,3,1
1996,30.44000053,1,2.997499943,18,88,38,4,1,12.53199997,3,1
1997,14.90999985,0,4.403999949,18,88,48,4,0,12.19180014,3,0
1998,24.21999931,0,7.720000124,18,88,46,15,2,18.33239929,3,0
1999,23.03000069,0,6.899000192,18,95,50,7,1,16.61350063,3,2
2000,27.70000076,0,3.89700017,18,81,43,7,2,15.23169993,3,0
2001,16.55999947,0,3.887999892,18,69,34,5,0,13.29560036,3,0
2002,20.27000046,0,3.718999958,18,93,46,2,1,9.644799786,3,0
2003,32.93000031,1,4.059000111,18,95,56,6,3,15.18040005,3,0
2004,11.52000046,0,4.090999913,18,86,39,5,0,10.13960034,3,0
2005,24.04000092,0,7.002999878,18,83,49,8,1,13.57219986,3,0
2006,21.04000092,0,7.112999964,18,84,54,9,1,15.41700018,3,0
2007,20.93000031,0,6.947000122,17,75,47,12,2,17.89420033,3,7
2008,16.04000092,0,5.248000002,18,84,46,7,0,10.7963999,3,4
2009,19.71999931,0,3.380000055,18,76,36,2,0,9.526000214,3,0
2010,22.10000038,0,3.269999921,18,94,44,4,1,10.89949965,3,0
2011,15.51000023,0,4.577499986,18,72,45,5,0,10.75500007,3,0
2012,22.96999931,0,5.436000061,18,86,45,7,2,17.01240028,3,2
2013,20.54000092,0,6.262999916,18,81,46,10,1,17.40100018,3,0
2014,26.65999985,0,5.075000048,18,106,57,7,4,20.91650047,3,0
