Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,30.12999916,1,9.331999969,17,126,89,14,3,20.17000092,3,9
1984,21.80999947,0,8.420000076,11,62,40,7,1,15.63400021,2,126
1985,21.19000053,0,9.197999716,17,147,108,15,2,17.65219942,3,18
1986,31.98999977,1,9.894999933,16,120,92,15,4,20.5829003,3,38
1987,19.81999969,0,10.77749968,17,140,94,21,0,15.81450009,3,20
1988,22.12999916,0,12.94299965,16,133,102,28,6,20.93019953,3,29
1989,20.06999969,0,11.61050024,16,141,102,21,1,19.1996995,3,34
1990,21.22999954,0,8.843999863,16,117,81,11,1,19.92000008,2,33
1991,22.88999939,0,8.909500313,18,133,84,12,3,19.62159967,3,4
1992,30.23999977,1,10.21499968,16,144,104,17,3,20.66700001,3,36
1993,34.47999954,1,13.75249982,16,136,101,26,7,24.87200003,3,30
1994,32.95999908,2,11.09700031,18,147,109,22,7,24.81980026,3,3
1995,24.12000084,0,10.37399998,18,137,106,21,3,17.93520081,3,1
1996,22.30999947,0,10.6025002,18,154,116,19,2,17.69900007,3,1
1997,31.60000038,1,10.7039999,18,174,116,20,5,24.39060028,3,0
1998,28.14999962,0,12.48499985,18,139,103,27,6,24.02859989,3,0
1999,33.40000153,1,15.83099995,18,165,135,33,8,24.99430016,3,2
2000,23.62999916,0,11.48250017,18,159,115,21,4,21.68619989,3,0
2001,23.61000061,0,12.0369998,18,145,111,25,2,19.2285994,3,0
2002,31.69000053,1,13.69000025,18,127,94,26,3,20.05159981,3,0
2003,33.36000061,1,12.90900011,18,139,109,30,8,24.11639942,3,0
2004,26.60000038,0,12.6355001,18,138,98,30,6,22.06059961,3,0
2005,29.31999969,0,12.62399988,18,136,104,31,3,19.96119972,3,0
2006,36.77000046,1,13.5380002,18,156,120,27,8,23.90400017,3,0
2007,45.20000076,2,13.99300032,17,144,103,27,9,28.32640057,3,7
2008,42.41999817,1,10.85500011,18,156,114,20,3,20.61600002,3,4
2009,30.45000076,1,8.057499766,18,130,87,16,3,19.31199989,3,0
2010,17.03000069,0,8.63499999,18,156,98,10,0,16.00100002,3,0
2011,23.37000084,0,9.065000296,18,140,94,14,1,15.26549983,3,0
2012,28.81999969,0,12.2159996,18,155,119,22,1,19.30440041,3,2
2013,33.65000153,1,8.571000004,18,127,91,14,5,23.0175996,3,0
2014,24.46999931,0,12.86500001,18,165,124,30,5,21.94749966,3,0
