Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,15.05000019,0,6.043999958,17,78,49,7,0,14.13999973,3,9
1984,17.70000076,0,1.980000019,11,52,26,1,0,7.432000065,2,126
1985,15.75,0,4.686499977,17,94,53,2,0,8.32479969,3,18
1986,25.86000061,0,6.049999952,16,88,60,9,4,23.45459942,3,38
1987,21.05999947,0,6.514999986,17,98,50,9,1,13.42499986,3,20
1988,23.79999924,0,7.357500172,16,104,69,10,3,19.46750008,3,29
1989,23.95000076,0,8.709000015,16,105,61,12,2,15.85890048,3,34
1990,7.889999866,0,2.70999999,16,92,36,0,0,6.263600159,3,33
1991,24.94000053,0,5.913000059,18,92,44,7,1,13.59379965,3,4
1992,22.03000069,0,8.275000095,16,112,63,10,1,19.3930006,3,36
1993,17.39999962,0,5.309999943,16,90,61,8,0,13.83799996,3,30
1994,23.54999924,0,8.63900032,18,109,74,15,4,21.41359962,3,3
1995,20.68000031,0,8.267999649,18,123,71,13,1,16.64320023,3,1
1996,21.38999939,0,5.119999886,17,113,66,6,1,12.99899993,3,1
1997,29.73999977,0,6.878999805,18,131,62,13,3,19.14559975,3,0
1998,20.22999954,0,8.1650002,18,114,69,10,1,13.20419966,3,0
1999,20.09000015,0,8.206500244,18,129,79,10,1,16.65519997,3,2
2000,18.31999969,0,5.616499972,18,106,63,7,0,15.4869,3,0
2001,25.32999992,0,5.397999859,18,108,68,9,2,19.24719913,3,0
2002,21.15999985,0,6.643999863,18,93,59,11,1,14.94139982,3,0
2003,24.87000084,0,6.963999891,18,109,69,11,1,15.98700033,3,0
2004,15.56999969,0,4.299500036,18,103,65,5,0,12.50929959,3,0
2005,16.86000061,0,6.270999908,18,108,67,10,0,13.89240034,3,0
2006,23.94000053,0,7.880999804,18,122,64,13,2,18.31540066,3,0
2007,35.81000137,1,12.47000008,17,94,69,24,4,24.05139957,3,7
2008,14.78999996,0,6.79700017,18,124,70,7,0,11.87379997,3,4
2009,17.43000031,0,7.072499871,18,95,58,9,0,14.75349979,3,0
2010,14.84000015,0,6.057500005,18,115,56,3,0,9.684500074,3,0
2011,26.5,0,7.050000072,18,101,65,10,2,16.37400084,3,0
2012,33.00999832,1,8.802000046,18,115,68,13,5,21.20079971,3,2
2013,23.60000038,0,6.880999804,18,113,66,7,1,18.58680008,3,0
2014,18.12999916,0,6.862499833,18,153,89,8,0,14.05949988,3,0
