Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,25.79000092,0,7.944000053,17,139,93,10,2,16.40759995,3,9
1984,14.18000031,0,5.730000019,11,77,52,5,0,12.95999966,2,126
1985,22.76000023,0,9.329500246,17,144,93,12,2,17.4113003,3,18
1986,48.36000061,1,11.62949986,16,128,85,21,1,17.98149937,3,38
1987,27.70999908,0,8.487499952,17,137,91,13,3,20.15099993,3,20
1988,31.46999931,1,12.00999966,16,141,106,23,3,20.98009953,3,29
1989,26.55999947,0,12.94049969,16,143,103,22,3,19.92429991,3,34
1990,27.78000069,0,7.65199995,16,134,88,11,2,18.69840034,3,33
1991,35.97999954,1,10.35499988,18,156,101,20,6,24.82600046,3,4
1992,23.37999916,0,9.755000114,16,157,99,14,4,20.28200054,3,36
1993,20.89999962,0,11.64999986,16,147,102,23,1,18.31549921,3,30
1994,21.27000046,0,12.69300022,18,145,99,24,2,19.2673996,3,3
1995,21.05999947,0,10.72800026,18,162,108,20,1,16.8044001,3,1
1996,17.44000053,0,10.10500026,18,171,114,18,0,16.63700037,3,1
1997,25.27000046,0,12.02099981,18,184,126,25,4,24.06300011,3,0
1998,29.06999969,0,10.99800024,18,166,122,22,6,22.91239994,3,0
1999,36.97000122,1,13.52550011,18,161,121,31,3,21.06520004,3,2
2000,29.47999954,0,12.11000004,18,159,113,23,8,23.44490005,3,0
2001,35.33000183,2,11.64999971,18,149,114,25,8,25.82939987,3,0
2002,21.45000076,0,11.09800024,18,145,104,21,3,19.21580029,3,0
2003,37.06999969,1,11.12399988,18,154,105,22,2,17.13360043,3,0
2004,21.75,0,10.35700011,18,154,110,18,2,19.06850033,3,0
2005,23.71999931,0,11.2749999,18,155,95,21,2,18.49780025,3,0
2006,28.62000084,0,11.14800043,18,161,113,25,5,22.5214003,3,0
2007,41.06999969,4,13.529,17,160,117,30,8,31.85760082,3,7
2008,25.78000069,0,11.45499983,18,163,121,22,2,18.41359966,3,4
2009,43.25999832,2,8.899999619,18,149,98,14,4,22.00500002,3,0
2010,17.53000069,0,8.204999804,18,169,106,9,0,13.39999995,3,0
2011,40.63999939,1,11.63749957,18,139,103,27,3,19.82800016,3,0
2012,25.37000084,0,10.90200005,18,164,115,23,4,20.93040054,3,2
2013,29.20999908,0,10.32900019,18,156,103,18,4,21.95400021,3,0
2014,27.07999992,0,14.11499977,18,183,125,36,5,20.48050051,3,0
