Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,41.81000137,2,17.95200043,17,218,164,41,11,28.37439987,3,9
1984,33.52000046,2,11.40999985,11,130,84,14,5,28.91799927,2,126
1985,36.25999832,1,14.00700006,17,209,159,35,5,21.78530012,3,18
1986,36.68999863,1,14.44300036,16,178,124,33,3,20.32110069,3,38
1987,41.5,2,11.7525003,17,198,149,26,7,23.87199936,3,20
1988,47.15999985,1,18.40199986,16,193,145,46,13,26.70549995,3,29
1989,20.87000084,0,14.84699965,16,193,129,38,2,19.31590019,3,34
1990,45.00999832,1,15.88200016,16,211,159,37,7,24.53199982,3,33
1991,46.40999985,4,15.39599962,18,224,166,39,9,33.4213002,3,4
1992,31.73999977,2,16.55000019,16,201,164,44,8,27.33299923,3,36
1993,59.56999969,1,16.53249979,16,205,134,33,10,24.78400002,3,30
1994,38.11999893,1,13.85899973,18,220,164,37,7,21.62299992,3,3
1995,29.19000053,0,12.09800034,18,224,158,34,3,19.51840034,3,1
1996,23.19000053,0,13.52750015,18,230,176,34,3,19.62699966,3,1
1997,27.69000053,0,14.17299967,18,206,161,45,8,24.64720081,3,0
1998,30.60000038,1,16.0369998,18,212,149,45,7,22.77300014,3,0
1999,33.52000046,1,14.74950013,18,219,154,42,5,21.87969959,3,2
2000,23,0,13.07099986,18,199,144,30,2,19.42959967,3,0
2001,27.62000084,0,13.09799967,18,223,159,30,3,20.50560024,3,0
2002,25.29000092,0,14.50299969,18,221,158,37,4,20.77800053,3,0
2003,22.31999969,0,13.00400009,18,216,167,35,2,19.47079987,3,0
2004,29.71999931,0,14.46599956,18,220,152,36,3,21.50779926,3,0
2005,31.29999924,1,15.28200026,18,198,137,33,9,27.06439995,3,0
2006,21.84000015,0,12.91099977,18,224,162,35,2,18.92139999,3,0
2007,31.70000076,1,12.65599966,17,207,150,36,7,24.30880058,3,7
2008,31.45999908,1,13.20599957,18,223,168,34,4,24.01739944,3,4
2009,31.73999977,1,13.63499999,18,230,159,35,8,22.171,3,0
2010,24.54000092,0,12.32249975,18,228,162,30,1,16.61200027,3,0
2011,24.05999947,0,12.77250028,18,232,165,33,4,21.1749999,3,0
2012,30.01000023,1,14.66399975,18,230,163,37,6,21.01440018,3,2
2013,33.25,2,11.40900021,18,246,171,21,4,23.11019997,3,0
2014,36.49000168,1,12.51249981,18,221,161,37,5,22.9085,3,0
