Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,23,0,10.36799965,17,123,78,19,2,19.15399994,3,9
1984,14.77000046,0,7.179999828,11,70,50,6,0,11.25400009,2,126
1985,27.25,0,9.461999798,17,138,101,14,1,15.01170014,3,18
1986,24.12000084,0,10.44100003,16,114,84,16,3,20.71830004,3,38
1987,23.30999947,0,10.86250019,17,134,93,20,1,18.03300028,3,20
1988,34.34999847,1,12.27199988,16,151,110,26,5,20.95059999,3,29
1989,23.31999969,0,13.00900021,16,150,102,30,2,18.46369961,3,34
1990,21.43000031,0,8.109999657,16,135,81,11,3,18.51400055,3,33
1991,26.77000046,0,10.28550038,18,155,103,18,2,18.95919991,3,4
1992,19.06999969,0,12.05999994,16,161,112,23,0,15.48600025,3,36
1993,19.31999969,0,9.822499752,16,148,94,16,0,18.05949984,3,30
1994,25.39999962,0,12.16699963,18,149,115,29,3,19.74839935,3,3
1995,28.30999947,0,12.73799973,18,164,110,25,3,19.9132,3,1
1996,18.47999954,0,11.07249999,18,168,111,21,0,16.8989994,3,1
1997,30,0,11.61000023,18,177,125,28,4,21.97779949,3,0
1998,35.5,1,12.68099966,18,161,113,27,3,20.40499954,3,0
1999,29.85000038,0,12.30649967,18,161,123,32,2,17.38399998,3,2
2000,19.10000038,0,12.23600001,18,159,106,26,0,17.39419954,3,0
2001,20.43000031,0,11.61099997,18,148,116,25,1,16.17360016,3,0
2002,32.49000168,1,12.36199999,18,138,102,27,5,20.8260004,3,0
2003,22.45999908,0,11.59199982,18,151,100,20,3,20.14380066,3,0
2004,16.80999947,0,10.28350019,18,153,110,19,0,15.13659995,3,0
2005,20.62999916,0,11.20399981,18,137,99,22,2,18.90879978,3,0
2006,24,0,12.87100029,18,156,123,29,4,20.82539978,3,0
2007,54.08000183,2,13.91699982,17,161,117,32,7,24.4996003,3,7
2008,24.43000031,0,9.954999924,18,159,108,18,5,20.9811993,3,4
2009,25.19000053,0,11.15999985,18,153,108,20,3,20.53549929,3,0
2010,16.53000069,0,10.92250013,18,156,104,20,0,14.8335,3,0
2011,40,1,13.2750001,18,139,98,26,6,22.75199976,3,0
2012,31.15999985,1,8.495999718,18,146,107,15,1,16.95479935,3,2
2013,25.75,0,10.86999979,18,160,102,23,1,15.00259993,3,0
2014,31.42000008,1,10.93250012,18,179,121,25,4,23.78899965,3,0
