Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,22.77000046,0,9.773999596,17,151,102,17,3,18.11680016,3,9
1984,22.70000076,0,9.699999809,11,84,53,11,1,17.72999954,2,126
1985,26.60000038,0,11.58349991,17,186,120,21,2,19.33740065,3,18
1986,30.87000084,2,10.1985002,16,144,95,17,4,21.64730047,3,38
1987,22.98999977,0,9.664999962,17,147,97,16,2,18.23900023,3,20
1988,37.81000137,1,16.29600077,16,170,125,34,8,24.12860018,3,29
1989,23.52000046,0,13.85049977,16,164,117,28,4,21.49189955,3,34
1990,33.56000137,1,10.05800018,16,168,96,16,6,21.62960022,3,33
1991,28.56999969,0,12.12300034,18,179,117,25,3,18.42869974,3,4
1992,25.38999939,0,12.78500032,16,177,137,29,2,19.40400009,3,36
1993,28.37999916,0,11.7099998,16,177,117,20,1,18.86200027,3,30
1994,39.34000015,3,12.9329998,18,164,124,28,5,24.68279976,3,3
1995,28.12999916,0,13.16200027,18,178,125,34,5,21.74760048,3,1
1996,28.20999908,0,13.7525003,18,175,125,35,4,24.13200035,3,1
1997,24.17000008,0,12.08699961,18,199,145,32,3,20.00739952,3,0
1998,26.20999908,0,13.56799955,18,169,121,34,1,18.43520039,3,0
1999,35.36000061,1,13.30400043,18,176,130,28,8,24.46440039,3,2
2000,27.67000008,0,13.09300022,18,183,130,32,4,21.25240023,3,0
2001,22.09000015,0,12.30500011,18,178,128,26,4,20.78080006,3,0
2002,23.25,0,10.88700027,18,176,119,21,1,17.98480011,3,0
2003,31.54999924,1,11.03400011,18,168,119,21,5,20.81999939,3,0
2004,20.44000053,0,9.960000181,18,185,127,18,1,16.75170008,3,0
2005,35.27000046,1,11.90900011,18,164,118,25,4,23.80040051,3,0
2006,21.14999962,0,12.18300009,18,184,116,26,3,19.65580017,3,0
2007,32.38999939,2,15.26600018,17,178,135,34,8,24.84620041,3,7
2008,27.31999969,0,11.33000011,18,177,120,23,2,18.73040073,3,4
2009,27.96999931,0,10.91749978,18,169,119,21,2,17.12899971,3,0
2010,24.01000023,0,9.8349998,18,190,116,17,1,15.01600027,3,0
2011,34.86000061,1,12.69999981,18,155,106,26,4,24.57050076,3,0
2012,28.15999985,0,11.96800022,18,182,119,26,4,25.67119972,3,2
2013,18,0,11.4619998,18,176,118,23,0,16.42780087,3,0
2014,29.94000053,0,11.93000007,18,202,136,31,6,26.00100069,3,0
