Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,13.72999954,0,4.153999901,17,77,46,1,0,8.167600098,3,9
1984,5.5,0,1.539999962,11,40,16,0,0,4.487999916,2,126
1985,16.98999977,0,5.614500046,17,108,56,3,0,10.44750046,3,18
1986,20.32999992,0,6.077999997,16,98,59,6,1,15.48899937,3,38
1987,20.62000084,0,5.547500134,17,115,65,7,1,14.95249991,3,20
1988,32.09000015,1,9.492499781,16,109,67,16,6,22.11039942,3,29
1989,19.15999985,0,6.756500101,16,111,67,6,0,16.08750024,3,34
1990,20.59000015,0,3.649999952,16,74,43,6,1,15.05200012,3,33
1991,15.5,0,3.23950001,18,95,51,4,0,10.25120024,3,4
1992,23.75,0,7.324999809,16,101,74,9,2,16.73799963,3,36
1993,16.64999962,0,6.284999967,16,122,92,8,0,14.30649967,3,30
1994,25.5,0,7.832000065,18,119,79,13,1,14.87280001,3,3
1995,25.48999977,0,7.523999882,18,121,86,9,1,16.91319962,3,1
1996,31.75,1,7.745000005,18,109,67,9,1,16.0395,3,1
1997,22.95999908,0,6.455000067,18,141,84,8,1,18.37020012,3,0
1998,27.35000038,0,8.124000072,18,115,69,16,2,17.75200001,3,0
1999,25.25,0,7.988499808,18,126,93,10,2,17.56670055,3,2
2000,18.61000061,0,5.325999999,18,122,69,5,0,12.4654001,3,0
2001,24.97999954,0,5.323000097,18,114,62,10,1,16.96060028,3,0
2002,30.36000061,1,5.770000076,18,92,61,8,1,14.19440029,3,0
2003,30.60000038,1,8.487000179,18,107,69,15,2,15.84440016,3,0
2004,21.02000046,0,6.240000081,18,106,66,6,1,13.14639986,3,0
2005,31.96999931,1,8.472999811,18,114,73,12,2,16.30540051,3,0
2006,23.12999916,0,6.127000046,18,129,78,8,2,18.01940086,3,0
2007,31.04999924,1,7.128000116,17,104,65,14,3,19.69440018,3,7
2008,16.51000023,0,4.443999815,18,117,58,4,0,10.51820007,3,4
2009,17.36000061,0,3.147500038,18,96,47,5,0,11.80799985,3,0
2010,11.10999966,0,4.704999804,18,111,59,2,0,9.317000341,3,0
2011,12.85000038,0,3.732500017,18,99,60,1,0,9.368499804,3,0
2012,18.15999985,0,5.492000198,18,114,63,4,0,10.45999973,3,2
2013,18.26000023,0,3.908000016,18,101,46,7,0,14.60840023,3,0
2014,17.40999985,0,7.4575001,18,142,86,11,0,12.57699995,3,0
