Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,10.23999977,0,0.813999999,17,40,11,1,0,1.764000039,3,9
1984,6.179999828,0,0.409999996,11,17,6,0,0,3.179999971,2,126
1985,10.96000004,0,0.973000005,17,44,16,1,0,4.343900037,3,18
1986,41.34000015,1,0.386499989,16,28,7,1,1,1.866099999,3,38
1987,3.390000105,0,0.905000016,17,62,14,0,0,3.034999967,3,20
1988,12.47000027,0,0.436000006,16,32,7,1,0,3.393500129,3,29
1989,7.239999771,0,0.741499975,16,39,12,0,0,4.098800161,3,34
1990,10.94999981,0,0.344000006,16,29,11,2,0,7.774800262,3,33
1991,7.579999924,0,0.999000001,18,42,17,0,0,3.510900083,3,4
1992,4.940000057,0,1.744999945,16,58,22,0,0,4.312000132,3,36
1993,25.04000092,0,1.584999979,16,67,25,2,1,7.788499856,3,30
1994,6.590000153,0,1.148999965,18,58,19,0,0,3.365600071,3,3
1995,20.12000084,0,1.429999948,17,51,20,4,1,12.23720024,3,1
1996,28.90999985,0,0.870000005,17,62,16,3,1,9.044499755,3,1
1997,11.23999977,0,1.799999952,17,74,35,1,0,5.661400166,3,0
1998,8.050000191,0,1.146999979,18,53,21,0,0,2.94800005,3,0
1999,6.440000057,0,0.748500001,18,46,16,0,0,5.723300114,3,2
2000,9.609999657,0,1.004999974,18,49,18,0,0,5.181700063,3,0
2001,4.650000095,0,0.239999995,17,24,7,0,0,1.487000012,3,0
2002,3.869999886,0,0.177000006,18,20,6,0,0,2.460800037,3,0
2003,3.789999962,0,0.529999971,17,37,13,0,0,1.883799992,3,0
2004,4.110000134,0,0.379999995,17,37,6,0,0,2.042199959,3,0
2005,10.61999989,0,1.142000014,18,49,18,2,0,5.517600145,3,0
2006,7.75,0,0.861999995,18,56,13,0,0,3.178000002,3,0
2007,8.970000267,0,0.391999987,17,36,6,0,0,1.456199973,3,7
2008,3.450000048,0,0.346999994,18,36,6,0,0,1.559600005,3,4
2009,2.690000057,0,0.522499979,18,33,2,0,0,0.993500006,3,0
2010,20.44000053,0,1.349999994,18,54,21,2,1,7.712000012,3,0
2011,5.670000076,0,0.237500001,18,22,6,0,0,2.522499979,3,0
2012,2.589999914,0,0.468000001,18,32,10,0,0,2.235999947,3,2
2013,5.699999809,0,0.449000001,18,43,12,0,0,1.894199946,3,0
2014,29.61000061,0,1.297499955,18,67,26,2,1,9.18499999,3,0
