Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,27.06999969,0,15.76399956,17,175,135,33,9,23.59999977,3,9
1984,35.61999893,1,11.10000038,11,110,78,17,2,19.78599968,2,126
1985,30.85000038,1,14.67000022,17,186,147,35,4,21.02130037,3,18
1986,23.54999924,0,14.25799999,16,179,135,31,1,18.33309927,3,38
1987,21.93000031,0,13.95499992,17,177,128,33,2,19.21249924,3,20
1988,35.49000168,1,16.35600023,16,179,136,42,7,26.86719942,3,29
1989,41.59000015,1,15.12649999,16,182,137,36,5,24.10129953,3,34
1990,28.26000023,0,14.94599991,16,216,155,33,6,25.25719978,3,33
1991,36.24000168,1,16.00300045,18,200,156,43,8,25.66860029,3,4
1992,22.62000084,0,14.625,16,197,149,41,3,20.61200008,3,36
1993,24.36000061,0,16.22749996,16,197,154,41,4,21.80549974,3,30
1994,32.11999893,1,13.3880003,18,196,156,38,3,20.1569997,3,3
1995,25.75,0,15.47999992,18,200,156,50,5,21.27519974,3,1
1996,30.26000023,1,15.46249986,18,216,167,45,6,23.69650021,3,1
1997,28.98999977,0,14.18500032,18,217,164,36,5,23.89460003,3,0
1998,31.97999954,1,14.92400026,18,194,159,47,9,22.23839954,3,0
1999,28.55999947,0,16.85699949,18,202,162,57,8,22.93150043,3,2
2000,22.54000092,0,12.8815002,18,189,139,34,2,17.44320005,3,0
2001,29.98999977,0,14.20099974,18,188,147,42,7,25.18680046,3,0
2002,31.12000084,1,13.94099979,18,206,153,44,6,21.81759979,3,0
2003,26.02000046,0,15.40799999,18,209,162,47,9,23.7696003,3,0
2004,26.34000015,0,12.96800003,18,203,160,39,3,19.79480043,3,0
2005,25.04000092,0,14.74299994,18,186,150,39,3,20.19779926,3,0
2006,34.65000153,1,17.37999935,18,196,159,58,8,24.1254002,3,0
2007,30.48999977,1,17.7920002,17,207,167,43,7,24.82600018,3,7
2008,32.86000061,2,16.46500015,18,205,155,48,11,24.26680031,3,4
2009,35.75999832,1,13.10749984,18,209,158,36,6,23.11349955,3,0
2010,24.04000092,0,12.69750023,18,222,156,28,5,23.21250019,3,0
2011,27.20000076,0,14.05750012,18,179,135,35,4,20.35500021,3,0
2012,31.39999962,1,14.57799988,18,194,151,42,7,21.30119919,3,2
2013,20.96999931,0,11.55400019,18,211,150,27,1,18.64580002,3,0
2014,26.82999992,0,12.84500027,18,245,164,33,3,20.69600077,3,0
