Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,20.15999985,0,9.678000259,17,121,82,17,1,16.02800026,3,9
1984,25.07999992,0,7.53000021,12,65,46,5,1,14.55600033,2,126
1985,24.46999931,0,7.328000069,17,129,84,11,2,18.21589996,3,18
1986,36.45999908,1,10.33100014,16,112,89,16,1,19.44970018,3,38
1987,20.01000023,0,8.827500105,17,129,86,14,1,17.32700024,3,20
1988,30,0,12.03500037,16,149,108,24,3,20.67459944,3,29
1989,20.51000023,0,12.79750028,16,141,97,28,1,18.89670059,3,34
1990,19.25,0,6.702000046,16,133,80,6,0,14.13039982,3,33
1991,25.42000008,0,9.594499874,18,153,99,14,3,20.01230011,3,4
1992,24.81999969,0,10.67999983,16,153,108,18,3,19.88200054,3,36
1993,21.51000023,0,11.72749996,16,139,96,23,1,17.93400068,3,30
1994,26.87999916,0,11.51400042,18,148,115,22,3,19.5340004,3,3
1995,33.54000092,1,12.47199993,18,156,112,23,3,21.57000076,3,1
1996,22.57999992,0,9.21750021,18,168,112,11,1,14.91449962,3,1
1997,26.61000061,0,10.2749999,18,179,127,20,2,16.96839916,3,0
1998,31.20000076,1,12.01799974,18,159,102,22,5,23.23500092,3,0
1999,32.95000076,1,10.96999989,18,167,110,19,4,20.95280027,3,2
2000,29.20999908,0,9.445500135,18,160,104,17,4,21.70249916,3,0
2001,23.28000069,0,11.48400011,18,145,102,24,3,19.86279934,3,0
2002,23.63999939,0,11.19600039,18,140,104,19,2,16.70920021,3,0
2003,19.63999939,0,10.95399981,18,136,100,22,0,18.2904002,3,0
2004,30.53000069,1,7.984000015,18,152,108,9,1,13.41899983,3,0
2005,27.22999954,0,11.16500015,18,142,97,25,2,19.16479984,3,0
2006,33.95000076,1,11.73999987,18,150,124,26,5,22.07879986,3,0
2007,43.29000092,3,15.53099976,17,153,114,39,10,29.75520042,3,7
2008,22.96999931,0,9.155000305,18,159,119,12,1,16.21680016,3,4
2009,30.23999977,1,10.19250011,18,144,93,18,3,19.41799994,3,0
2010,19.59000015,0,10.07999992,18,160,106,18,0,16.81399956,3,0
2011,38.34999847,2,10.88999963,18,138,108,21,3,21.76299963,3,0
2012,41.27000046,1,10.11400013,18,155,95,19,4,22.75359978,3,2
2013,28.26000023,0,11.04899998,18,151,105,20,4,22.13259949,3,0
2014,25.37999916,0,12.88500023,18,182,119,26,3,20.05049982,3,0
