Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,7.070000172,0,0.281999999,17,37,3,0,0,1.315199966,3,9
1984,3.74000001,0,0,7,7,1,0,0,0.477999997,2,126
1985,4.78000021,0,0.492999996,17,40,9,0,0,2.988500025,3,18
1986,6.050000191,0,1.059500021,16,43,17,0,0,4.055400102,3,38
1987,13.39000034,0,1.080000043,16,53,19,1,0,5.804499912,3,20
1988,17.78000069,0,3.895499897,16,58,31,5,0,12.3419003,3,29
1989,4.960000038,0,0.914000016,16,56,15,0,0,2.961099963,3,34
1990,6.730000019,0,0.213999996,16,22,5,0,0,1.337999997,3,33
1991,3.140000105,0,0.319499993,18,35,5,0,0,1.784000008,3,4
1992,14.47999954,0,1.600000024,16,51,25,2,0,7.602000284,3,36
1993,13.69999981,0,0.920000017,16,56,16,1,0,3.628999949,3,30
1994,19.07999992,0,1.642999983,18,67,28,3,0,11.56959984,3,3
1995,18.19000053,0,1.206000018,18,64,21,2,0,7.049599991,3,1
1996,7.559999943,0,1.580000013,18,70,25,0,0,5.644499803,3,1
1997,6.179999828,0,1.175999999,18,61,18,0,0,2.951200047,3,0
1998,13.97999954,0,2.196000051,18,68,28,2,0,7.057200041,3,0
1999,16.20000076,0,4.109500027,18,81,39,4,0,10.71679978,3,2
2000,7.190000057,0,0.801999989,18,54,11,0,0,2.382899952,3,0
2001,9.329999924,0,1.112000012,18,52,19,0,0,5.939999981,3,0
2002,15.05000019,0,0.937,18,47,17,1,0,5.133600044,3,0
2003,16.11000061,0,2.573999929,18,77,32,1,0,5.752199841,3,0
2004,6.46999979,0,0.831499997,18,40,17,0,0,3.460800035,3,0
2005,7.300000191,0,1.339999998,18,68,26,0,0,6.011599913,3,0
2006,11.31999969,0,1.402000022,18,63,24,2,0,6.369200134,3,0
2007,14.30000019,0,2.036999965,17,59,27,2,0,8.708200026,3,7
2008,6.360000134,0,0.835999978,18,55,16,0,0,4.059400091,3,4
2009,7.150000095,0,1.137499988,18,46,19,0,0,5.451500154,3,0
2010,17.73999977,0,1.479999959,18,55,21,1,0,6.45500021,3,0
2011,5.559999943,0,0.644999981,18,42,14,0,0,3.135999978,3,0
2012,9.729999542,0,1.959999943,18,58,22,0,0,6.336800003,3,2
2013,18.72999954,0,2.479999948,18,73,22,5,0,11.88519979,3,0
2014,10.61999989,0,1.855000049,18,97,26,1,0,8.434000158,3,0
