Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,26.87999916,0,7.552000141,17,126,84,12,2,17.6868,3,9
1984,13.10999966,0,6.139999866,11,66,34,2,0,10.85799999,2,126
1985,23.79999924,0,6.941000128,17,135,90,12,1,14.77379975,3,18
1986,28.40999985,0,8.377999878,16,112,76,11,2,19.52980032,3,38
1987,23.23999977,0,8.510000229,17,135,86,11,1,15.66250033,3,20
1988,21.06999969,0,11.42200007,16,133,96,20,2,18.95550032,3,29
1989,28.31999969,0,11.2594996,16,149,96,20,2,18.19380062,3,34
1990,20.17000008,0,6.727999878,16,134,86,12,1,14.18520031,3,33
1991,28.54999924,0,7.247000003,18,148,83,12,2,19.13569981,3,4
1992,22.87999916,0,9.880000114,16,148,99,15,1,17.90899982,3,36
1993,24.52000046,0,12.76750016,16,129,91,23,5,21.13199997,3,30
1994,28.56999969,0,10.22399998,18,141,100,18,2,18.21420036,3,3
1995,22.43000031,0,9.281999779,18,149,102,15,2,18.08279968,3,1
1996,21.11000061,0,11.0625,18,158,111,22,1,17.11149969,3,1
1997,25.20999908,0,9.364000034,18,166,100,15,2,17.40140011,3,0
1998,29.5,0,10.87800035,18,154,98,22,2,18.57019962,3,0
1999,31.56999969,1,12.65849981,18,164,123,24,6,24.22310053,3,2
2000,29.62000084,0,9.100999737,18,149,101,15,8,27.32839993,3,0
2001,24.77000046,0,10.06299982,18,147,94,18,6,23.32359978,3,0
2002,28.73999977,0,9.826000404,18,133,90,17,3,20.33460026,3,0
2003,32.77999878,1,10.41299982,18,133,101,18,6,25.60420055,3,0
2004,27.87000084,0,8.455500031,18,138,93,13,1,14.83109976,3,0
2005,25.26000023,0,10.49799976,18,138,91,19,3,20.82360043,3,0
2006,26.71999931,0,10.61800013,18,152,110,20,5,23.47380043,3,0
2007,26.5,0,14.62999973,17,133,92,36,7,23.08560028,3,7
2008,26.23999977,0,9.877000332,18,154,110,17,2,16.06680006,3,4
2009,22.81999969,0,7.232499957,18,131,86,12,1,16.8670001,3,0
2010,16.98999977,0,6.070000172,18,150,95,6,0,13.3099997,3,0
2011,31.29000092,1,8.057499886,18,133,84,15,1,15.78799982,3,0
2012,37.81000137,1,9.43200016,18,155,104,15,2,16.90439957,3,2
2013,24.55999947,0,8.348000145,18,132,81,13,7,23.08979992,3,0
2014,26.84000015,0,11.67999983,18,177,115,24,5,23.80949993,3,0
