Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,13,0,0,3,3,1,1,0,0.54,3,20
1984,0,0,0,0,0,0,0,0,0,0,19
1985,16,0,0,2,2,2,1,0,0,2,39
1986,1,0,0,1,1,0,0,0,0,1,20
1987,0,0,0,0,0,0,0,0,0,0,0
1988,11,0,0,9,9,7,3,0,10.68,3,50
1989,17,0,0,7,7,6,2,0,4.25,3,41
1990,0,0,0,0,0,0,0,0,0,0,21
1991,0,0,0,0,0,0,0,0,0,0,0
1992,12,0,0,2,2,2,1,0,0,2,18
1993,6,0,0,1,1,1,0,0,0,1,10
1994,15,0,0,5,5,4,1,0,3.36,3,0
1995,26,0,0,5,5,5,2,1,8.68,3,0
1996,11,0,0,2,2,2,1,0,0,2,10
1997,2,0,0,1,1,1,0,0,0,1,0
1998,11,0,0,8,8,7,2,0,8.68,3,0
1999,21,0,0,4,4,2,1,1,1,2,10
2000,0,0,0,0,0,0,0,0,0,0,0
2001,14,0,0,3,3,2,1,0,0.34,3,0
2002,13,0,0,1,1,1,1,0,0,1,0
2003,21,0,0,4,4,3,1,1,2.7,3,0
2004,11,0,0,1,1,1,1,0,0,1,0
2005,16,0,0,3,3,3,1,0,1.36,3,0
2006,2,0,0,3,3,1,0,0,0.44,3,10
2007,10,0,0,4,4,3,0,0,2.7,3,0
2008,11,0,0,5,5,4,1,0,4.32,3,0
2009,7,0,0,4,4,4,0,0,3.36,3,0
2010,16,0,0,7,7,5,1,0,6.36,3,0
2011,10,0,0,3,3,3,0,0,1.7,3,0
2012,17,0,0,4,4,4,2,0,3.32,3,0
2013,24,0,0,2,2,2,1,1,0,2,0
2014,15,0,0,3,3,3,3,0,4.08,3,0
