Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,24,0,15.7,17,81,77,35,4,21.54,3,20
1984,38,1,12.65,17,62,62,24,5,23.53,3,19
1985,32,2,13.65,16,93,88,30,7,23.73,3,39
1986,29,0,15,14,58,57,25,7,21.54,3,20
1987,32,1,15,15,91,84,34,9,25.02,3,0
1988,36,2,15,14,85,83,38,6,26.68,3,50
1989,38,1,19.75,16,94,88,41,14,28,2,41
1990,36,2,17.75,17,77,73,33,10,27.65,3,21
1991,35,1,18,17,79,73,37,15,27.02,3,0
1992,38,1,15,16,81,76,32,8,26.08,3,18
1993,47,2,16,15,87,84,40,6,22.88,3,10
1994,39,3,15,17,69,66,31,7,29.68,3,0
1995,32,2,18,16,84,79,30,13,26.68,3,0
1996,29,0,17,15,84,83,41,11,26.44,3,10
1997,35,1,18,14,99,94,46,8,26.34,3,0
1998,36,2,15.7,18,88,84,39,9,25.34,3,0
1999,31,1,16,13,97,94,43,7,26,2,10
2000,32,1,15.65,18,89,87,40,9,27,2,0
2001,38,3,15,17,94,86,36,9,29.68,3,0
2002,33,2,15,16,79,76,37,4,25.7,3,0
2003,35,1,16,14,79,75,39,12,25.68,3,0
2004,27,0,16,15,93,85,42,6,21.33,3,0
2005,32,1,15,17,88,83,35,10,25.34,3,0
2006,32,3,18.2,17,84,77,36,12,30.44,3,10
2007,32,1,17,17,92,82,38,8,24.34,3,0
2008,31,1,18,17,95,86,45,13,26.99,3,0
2009,43,1,14,17,78,74,31,8,26.68,3,0
2010,37,2,15,15,94,88,33,8,26.34,3,0
2011,32,2,16,14,90,83,40,6,23.02,3,0
2012,25,0,16,16,102,97,44,5,24.33,3,0
2013,27,0,16,17,80,71,31,8,23.68,3,0
2014,28,0,17,15,100,90,42,8,24.68,3,0
