Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,28,0,0,14,14,10,3,2,10.16,3,20
1984,15,0,0,4,4,4,1,0,4.06,3,19
1985,20,0,1,13,17,13,6,0,13,2,39
1986,22,0,2,10,23,19,3,1,10.62,3,20
1987,23,0,2,15,19,19,6,1,15.02,3,0
1988,25,0,4,11,27,21,6,1,13,2,50
1989,27,0,6.5,16,35,31,13,2,19.75,3,41
1990,19,0,0,12,12,12,5,0,13,2,21
1991,25,0,0,17,17,15,5,1,12.68,3,0
1992,19,0,3,13,22,20,5,0,12,2,18
1993,21,0,4,13,22,21,7,1,16.88,3,10
1994,22,0,1.7,18,19,18,3,1,9.02,3,0
1995,32,1,2,16,25,19,6,2,19.34,3,0
1996,21,0,3,13,20,20,7,1,16.44,3,10
1997,27,0,3,17,27,25,7,1,15.34,3,0
1998,27,0,6.7,18,32,30,10,4,23.68,3,0
1999,27,0,4.2,17,26,25,7,2,15.88,3,10
2000,18,0,5,17,28,27,3,0,10.66,3,0
2001,21,0,3,17,26,22,7,1,16.34,3,0
2002,17,0,3.7,18,25,24,6,0,11,2,0
2003,26,0,1.7,18,22,18,7,2,18.02,3,0
2004,23,0,2,16,22,21,5,1,13.98,3,0
2005,30,0,2,14,20,19,5,2,16.34,3,0
2006,20,0,2,16,24,19,5,0,14.32,3,10
2007,24,0,3.7,18,28,25,6,1,18.68,3,0
2008,21,0,3,16,27,20,11,2,18.66,3,0
2009,16,0,5,13,29,24,5,0,12.34,3,0
2010,23,0,5,16,29,27,6,1,12.34,3,0
2011,21,0,3,15,29,22,7,1,15.34,3,0
2012,32,1,6.65,18,33,28,10,2,19.33,3,0
2013,23,0,3.7,18,24,21,7,1,15,2,0
2014,25,0,5,17,36,32,6,2,11,2,0
