Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,20,0,4.7,17,24,22,6,0,15.08,3,20
1984,16,0,0,13,13,11,3,0,10.12,3,19
1985,21,0,4,15,27,25,6,1,13.19,3,39
1986,27,0,2,14,20,18,4,3,19.78,3,20
1987,20,0,4,16,24,22,6,0,13.34,3,0
1988,15,0,5,14,23,20,7,0,14.84,3,50
1989,36,2,6.75,16,37,35,11,2,17.75,3,41
1990,22,0,0,12,12,10,3,1,11.65,3,21
1991,18,0,3.7,18,25,22,7,0,16,2,0
1992,22,0,4.6,17,33,29,7,2,16.56,3,18
1993,24,0,4,16,28,23,5,1,17.88,3,10
1994,30,0,2,17,24,21,7,1,18,2,0
1995,22,0,4,16,33,30,6,2,15.7,3,0
1996,20,0,4,15,25,23,8,0,13.88,3,10
1997,36,1,5.7,18,33,30,8,3,19.02,3,0
1998,29,0,4,17,34,32,12,3,19.36,3,0
1999,32,1,4,16,37,36,7,1,15.76,3,10
2000,27,0,4,16,27,23,8,2,16.65,3,0
2001,27,0,4,15,32,31,8,2,16.34,3,0
2002,27,0,5,16,34,30,9,2,14.02,3,0
2003,19,0,6,15,45,39,6,0,13.36,3,0
2004,17,0,4,15,32,28,6,0,15.33,3,0
2005,34,2,3,17,25,22,9,2,14.68,3,0
2006,29,0,4,14,31,21,9,2,20,2,10
2007,34,1,4,17,36,28,8,2,14.68,3,0
2008,21,0,5,15,38,31,8,1,17.66,3,0
2009,30,0,6,16,38,35,6,1,11.34,3,0
2010,25,0,5,17,31,28,8,2,15.02,3,0
2011,25,0,5,16,32,28,7,2,18.68,3,0
2012,20,0,6,16,42,35,11,0,16.99,3,0
2013,26,0,6.7,18,35,32,8,2,14.7,3,0
2014,33,1,5.7,18,45,36,5,1,17.68,3,0
