Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,25,0,5.7,17,25,24,7,1,15.62,3,20
1984,20,0,1,16,22,16,3,0,10.12,3,19
1985,18,0,9,14,42,34,10,0,15,1,39
1986,18,0,3,15,37,28,3,0,13.24,3,20
1987,17,0,3,17,31,25,3,0,10.34,3,0
1988,20,0,8,10,38,35,7,0,13,2,50
1989,20,0,8.75,16,47,42,11,0,17.25,3,41
1990,23,0,3.75,17,28,25,4,1,12.1,3,21
1991,16,0,4,16,24,24,6,0,13.34,3,0
1992,20,0,6,15,34,31,8,0,17,2,18
1993,19,0,5,14,35,31,5,0,12.44,3,10
1994,15,0,4,16,32,30,4,0,12,2,0
1995,19,0,5,16,41,33,7,0,14.7,3,0
1996,17,0,6.2,17,31,27,8,0,13.44,3,10
1997,26,0,6,16,39,36,8,2,16.02,3,0
1998,21,0,5,17,37,35,14,1,19.34,3,0
1999,33,1,6,13,38,33,8,1,14,2,10
2000,25,0,7,12,37,34,7,1,17.33,3,0
2001,32,1,5,16,30,27,7,3,20.68,3,0
2002,21,0,8,16,42,39,8,1,16.68,3,0
2003,16,0,8,11,39,38,6,0,13.34,3,0
2004,23,0,6,13,46,42,8,1,13.99,3,0
2005,32,1,6,16,39,34,5,1,13.68,3,0
2006,22,0,6.2,17,35,29,9,1,12.88,3,10
2007,30,0,5,16,39,31,8,1,13.68,3,0
2008,19,0,5,17,45,38,7,0,14.33,3,0
2009,29,0,4.7,18,35,28,7,2,17,2,0
2010,23,0,5.7,18,46,34,9,2,16.68,3,0
2011,21,0,6,14,42,38,9,1,13.68,3,0
2012,17,0,6,17,37,34,9,0,15,2,0
2013,22,0,6,17,44,38,8,1,16,2,0
2014,33,1,8,17,56,49,8,1,15.34,3,0
