Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,21,0,8,16,47,43,12,1,15.54,3,20
1984,20,0,8,14,40,35,12,0,19,1,19
1985,31,2,11,15,49,45,17,6,27,2,39
1986,31,1,8.7,17,46,44,13,3,20.24,3,20
1987,35,1,10.7,18,47,46,18,5,22.34,3,0
1988,29,0,12,13,55,51,18,5,22,2,50
1989,26,0,14,15,56,51,20,4,22,2,41
1990,28,0,7.75,17,39,36,15,3,20.1,3,21
1991,38,3,9,17,47,43,15,5,26.38,3,0
1992,32,1,7.6,17,39,39,12,2,18.52,3,18
1993,26,0,11,13,55,53,19,2,20,2,10
1994,37,2,8,17,41,39,14,3,20.38,3,0
1995,35,1,10,16,51,46,16,4,24.34,3,0
1996,31,1,11,15,58,55,18,4,22.32,3,10
1997,26,0,12,15,66,61,24,2,19.34,3,0
1998,34,2,11,17,57,52,20,6,30,2,0
1999,33,1,12,14,59,56,21,2,18.32,3,10
2000,33,1,11,16,53,47,21,5,23.33,3,0
2001,52,1,11,16,56,50,20,3,20.34,3,0
2002,34,2,10.7,18,46,46,18,3,21.02,3,0
2003,29,0,10,17,52,47,17,3,20.36,3,0
2004,39,1,11.65,18,52,48,20,2,18.33,3,0
2005,30,0,10.7,18,58,58,18,4,21.34,3,0
2006,30,0,10,15,61,55,15,3,19.2,3,10
2007,32,1,10,17,66,55,17,6,24,2,0
2008,22,0,13,12,61,53,21,2,19.33,3,0
2009,26,0,11.7,18,48,44,20,2,20,2,0
2010,26,0,9.7,18,52,46,17,1,18.68,3,0
2011,31,1,11,15,58,56,19,3,18.36,3,0
2012,25,0,13,15,67,60,24,4,21.33,3,0
2013,33,1,9,17,55,46,16,5,23.34,3,0
2014,40,1,13,12,71,64,25,3,20.02,3,0
