Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,20,0,8,13,43,38,8,0,14.54,3,20
1984,22,0,7,14,59,46,8,1,13.53,3,19
1985,21,0,9,15,65,57,13,1,17.73,3,39
1986,16,0,7,14,48,43,8,0,13.54,3,20
1987,21,0,8,15,53,49,11,1,15.34,3,0
1988,22,0,8.2,15,61,54,13,1,14,1,50
1989,16,0,9.75,16,63,60,13,0,15,2,41
1990,22,0,8,16,49,48,12,1,16.65,3,21
1991,19,0,9,17,63,58,13,0,17.34,3,0
1992,21,0,8.6,17,57,52,11,1,13.52,3,18
1993,20,0,9,14,67,64,13,0,15.44,3,10
1994,20,0,8,15,60,51,11,0,18.34,3,0
1995,16,0,9,16,67,58,12,0,14,2,0
1996,23,0,10,15,59,57,15,1,16.44,3,10
1997,25,0,11,15,78,75,22,2,19.34,3,0
1998,24,0,8.7,18,65,57,13,1,14.34,3,0
1999,24,0,10,16,76,67,16,1,14.44,3,10
2000,25,0,9,15,67,59,13,2,15.66,3,0
2001,23,0,9,14,61,55,10,2,16.34,3,0
2002,21,0,10.7,18,63,58,18,1,17.34,3,0
2003,19,0,8.7,18,65,55,14,0,16.34,3,0
2004,15,0,9,15,71,65,11,0,14.33,3,0
2005,37,1,9,13,66,59,12,2,18.02,3,0
2006,20,0,8,14,69,60,8,0,14.88,3,10
2007,40,1,8.7,18,80,69,10,2,15,2,0
2008,26,0,8.65,18,70,62,13,2,18.33,3,0
2009,14,0,7,16,70,62,8,0,13.34,3,0
2010,21,0,9,17,78,70,17,1,16.34,3,0
2011,24,0,10,17,69,62,17,2,18,2,0
2012,21,0,8,16,74,63,12,1,15.33,3,0
2013,20,0,7,17,74,66,12,0,14.68,3,0
2014,31,1,9,16,75,66,14,2,17.02,3,0
