Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,3,0,0,1,1,1,0,0,0,1,20
1984,0,0,0,0,0,0,0,0,0,0,19
1985,0,0,0,0,0,0,0,0,0,0,39
1986,1,0,0,1,1,0,0,0,0,1,20
1987,0,0,0,0,0,0,0,0,0,0,0
1988,12,0,0,6,6,6,2,0,7.88,3,50
1989,15,0,0,3,3,3,1,0,1.5,3,41
1990,0,0,0,0,0,0,0,0,0,0,21
1991,0,0,0,0,0,0,0,0,0,0,0
1992,0,0,0,0,0,0,0,0,0,0,18
1993,0,0,0,0,0,0,0,0,0,0,10
1994,10,0,0,1,1,1,0,0,0,1,0
1995,11,0,0,1,1,1,1,0,0,1,0
1996,0,0,0,0,0,0,0,0,0,0,10
1997,0,0,0,0,0,0,0,0,0,0,0
1998,8,0,0,1,1,1,0,0,0,1,0
1999,0,0,0,0,0,0,0,0,0,0,10
2000,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,0
2002,6,0,0,1,1,1,0,0,0,1,0
2003,6,0,0,1,1,1,0,0,0,1,0
2004,0,0,0,0,0,0,0,0,0,0,0
2005,9,0,0,1,1,1,0,0,0,1,0
2006,0,0,0,0,0,0,0,0,0,0,10
2007,9,0,0,2,2,2,0,0,0,2,0
2008,5,0,0,2,2,1,0,0,0,2,0
2009,9,0,0,1,1,1,0,0,0,1,0
2010,20,0,0,2,2,1,1,0,0,2,0
2011,0,0,0,0,0,0,0,0,0,0,0
2012,0,0,0,0,0,0,0,0,0,0,0
2013,6,0,0,3,3,3,0,0,1.36,3,0
2014,9,0,0,1,1,1,0,0,0,1,0
