Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,7,0,0,3,3,2,0,0,0.54,3,20
1984,0,0,0,0,0,0,0,0,0,0,19
1985,12,0,0,8,8,7,3,0,9.65,3,39
1986,7,0,0,8,8,4,0,0,4,2,20
1987,19,0,0,10,10,7,1,0,8,2,0
1988,31,1,3,14,21,18,6,1,14.84,3,50
1989,15,0,2,14,17,17,4,0,12.75,3,41
1990,11,0,0,4,4,4,1,0,6,2,21
1991,25,0,0,4,4,4,3,1,5.72,3,0
1992,12,0,0,7,7,7,2,0,7.56,3,18
1993,21,0,0,12,12,9,3,1,9.52,3,10
1994,14,0,0,10,10,10,4,0,11.68,3,0
1995,23,0,0,15,15,15,6,1,14.34,3,0
1996,20,0,0,12,12,12,4,0,13.32,3,10
1997,12,0,0,12,12,11,3,0,10.34,3,0
1998,23,0,0,17,17,16,8,2,19,2,0
1999,23,0,1.2,17,19,17,5,1,12.88,3,10
2000,12,0,0,8,8,7,2,0,5.65,3,0
2001,16,0,0,16,16,16,5,0,13,2,0
2002,17,0,0,10,10,8,2,0,8.02,3,0
2003,17,0,0,17,17,17,5,0,12.68,3,0
2004,17,0,0,13,13,12,3,0,8.99,3,0
2005,23,0,0,13,13,10,6,1,15.02,3,0
2006,24,0,0,11,11,11,3,1,10.76,3,10
2007,18,0,0,13,13,11,5,0,14.02,3,0
2008,22,0,1,16,19,16,2,1,8.33,3,0
2009,14,0,0,15,15,13,4,0,12.34,3,0
2010,22,0,0,17,17,14,4,1,14.68,3,0
2011,16,0,0,7,7,6,4,0,12.34,3,0
2012,25,0,0,12,12,11,8,2,14.66,3,0
2013,26,0,0,9,9,9,5,1,14.34,3,0
2014,25,0,0,14,14,12,3,1,11.02,3,0
