Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,24,0,6,16,29,28,10,1,17,2,20
1984,21,0,3,15,23,20,3,1,11.06,3,19
1985,24,0,8.65,16,40,36,12,3,19.65,3,39
1986,21,0,5.7,17,32,30,9,1,16.54,3,20
1987,29,0,7.7,18,38,33,11,1,14.34,3,0
1988,20,0,11,12,40,37,16,0,18,2,50
1989,30,0,12,14,45,45,17,8,24.75,3,41
1990,23,0,6,16,29,27,10,2,17.75,3,21
1991,26,0,7,16,33,32,11,4,21,2,0
1992,39,1,8,15,30,28,9,2,17.52,3,18
1993,28,0,8,15,37,36,13,4,22.76,3,10
1994,34,1,6,17,30,26,7,3,17.04,3,0
1995,34,2,6.7,18,40,37,15,3,22.38,3,0
1996,33,1,7.2,17,31,30,13,4,21.44,3,10
1997,26,0,8.7,18,43,40,15,5,23,2,0
1998,34,1,8.7,18,43,42,14,5,24.7,3,0
1999,29,0,9.2,17,46,44,15,4,22.76,3,10
2000,25,0,7,17,35,30,14,3,20.66,3,0
2001,28,0,9.7,18,38,36,16,4,21.68,3,0
2002,25,0,9,17,35,33,13,2,18.34,3,0
2003,37,1,7,17,41,37,10,2,18.02,3,0
2004,26,0,8,15,31,30,13,3,19.32,3,0
2005,36,2,8.7,18,41,38,11,3,18.36,3,0
2006,30,0,6,16,40,35,12,3,20.64,3,10
2007,27,0,10.7,18,44,41,18,2,18,2,0
2008,26,0,8.65,18,43,37,14,2,20,2,0
2009,20,0,7,16,40,36,12,0,15.68,3,0
2010,29,0,8,17,48,43,13,2,16.36,3,0
2011,41,1,7,17,37,33,13,2,18.68,3,0
2012,29,0,10,17,56,46,17,5,23.31,3,0
2013,33,1,9,16,45,40,13,2,19.34,3,0
2014,37,1,8.7,18,55,47,13,2,19.34,3,0
