Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,28,0,13,16,67,66,23,4,23,2,20
1984,29,0,13,14,64,61,25,2,19.53,3,19
1985,26,0,12,15,75,71,25,4,21,2,39
1986,33,1,11.7,17,71,64,20,4,25.24,3,20
1987,28,0,11.4,18,65,63,18,4,22.7,3,0
1988,25,0,16,11,81,74,31,5,21,2,50
1989,26,0,13.75,16,75,69,28,2,19.25,3,41
1990,35,1,14,16,71,62,25,6,22.1,3,21
1991,25,0,14.7,18,71,71,30,3,20.68,3,0
1992,27,0,13.6,17,85,76,27,2,19.52,3,18
1993,23,0,13,15,83,78,27,2,19.44,3,10
1994,31,1,13,17,79,75,30,7,26.02,3,0
1995,42,1,14.7,18,85,82,32,5,22.68,3,0
1996,29,0,15,15,76,69,36,7,22.44,3,10
1997,29,0,13,16,89,80,30,4,23.02,3,0
1998,22,0,14.7,18,79,78,32,2,19,2,0
1999,36,1,12.4,17,94,90,25,5,22.44,3,10
2000,30,0,14.65,18,73,70,28,4,21,2,0
2001,32,2,12,16,82,80,25,6,26.7,3,0
2002,33,1,13,16,63,60,28,4,21,2,0
2003,26,0,11.7,18,83,75,23,5,23.68,3,0
2004,24,0,14,14,85,82,21,3,19.99,3,0
2005,36,1,15,16,83,80,27,8,23.34,3,0
2006,27,0,13,15,79,72,28,3,20.88,3,10
2007,38,2,13,16,90,82,27,6,27.02,3,0
2008,25,0,14,13,83,74,25,3,20.33,3,0
2009,23,0,12,15,87,77,30,2,18.34,3,0
2010,24,0,13,17,84,80,30,5,21.34,3,0
2011,27,0,13.7,18,75,66,28,6,21.34,3,0
2012,29,0,14,17,93,86,35,6,21.33,3,0
2013,26,0,12.7,18,85,77,29,3,21.02,3,0
2014,27,0,15,16,96,83,31,8,25,1,0
