Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,3,0,0,6,6,2,0,0,1,2,20
1984,0,0,0,0,0,0,0,0,0,0,19
1985,4,0,0,7,7,5,0,0,2.73,3,39
1986,3,0,0,1,1,1,0,0,0,1,20
1987,4,0,0,6,6,3,0,0,1.34,3,0
1988,5,0,0,2,2,2,0,0,0,2,50
1989,16,0,0,5,5,5,1,0,3,1,41
1990,0,0,0,0,0,0,0,0,0,0,21
1991,1,0,0,1,1,0,0,0,0,1,0
1992,4,0,0,5,5,5,0,0,3.04,3,18
1993,4,0,0,9,9,4,0,0,2.44,3,10
1994,1,0,0,2,2,0,0,0,0,2,0
1995,4,0,0,1,1,1,0,0,0,1,0
1996,0,0,0,0,0,0,0,0,0,0,10
1997,6,0,0,14,14,5,0,0,2,2,0
1998,11,0,0,2,2,2,1,0,0,2,0
1999,1,0,0,1,1,0,0,0,0,1,10
2000,4,0,0,2,2,1,0,0,0,2,0
2001,2,0,0,2,2,1,0,0,0,2,0
2002,1,0,0,2,2,0,0,0,0,2,0
2003,0,0,0,0,0,0,0,0,0,0,0
2004,1,0,0,1,1,0,0,0,0,1,0
2005,15,0,0,6,6,5,1,0,2.34,3,0
2006,5,0,0,1,1,1,0,0,0,1,10
2007,0,0,0,0,0,0,0,0,0,0,0
2008,0,0,0,0,0,0,0,0,0,0,0
2009,5,0,0,2,2,1,0,0,0,2,0
2010,18,0,0,2,2,2,1,0,0,2,0
2011,0,0,0,0,0,0,0,0,0,0,0
2012,2,0,0,2,2,1,0,0,0,2,0
2013,11,0,0,6,6,4,1,0,2,1,0
2014,2,0,0,3,3,2,0,0,0.34,3,0
