Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,7,0,0,3,3,2,0,0,0.54,3,20
1984,0,0,0,0,0,0,0,0,0,0,19
1985,14,0,0,8,8,6,2,0,8.19,3,39
1986,9,0,0,7,7,5,0,0,3.54,3,20
1987,19,0,0,10,10,10,1,0,7.34,3,0
1988,28,0,2,14,19,16,6,1,16.52,3,50
1989,15,0,2,14,18,17,3,0,11.25,3,41
1990,8,0,0,5,5,5,0,0,6,2,21
1991,23,0,0,4,4,4,2,1,5.38,3,0
1992,12,0,0,6,6,6,2,0,7.6,3,18
1993,21,0,0,9,9,9,3,1,9.52,3,10
1994,14,0,0,10,10,10,4,0,12.34,3,0
1995,22,0,0,14,14,14,6,2,13.02,3,0
1996,16,0,0,13,13,12,3,0,11.76,3,10
1997,12,0,0,11,11,11,2,0,8.68,3,0
1998,22,0,0.7,18,18,17,8,2,16.34,3,0
1999,23,0,1.2,17,18,17,5,1,13.88,3,10
2000,12,0,0,10,10,7,2,0,5.65,3,0
2001,17,0,0,16,16,14,5,0,13.02,3,0
2002,15,0,0,7,7,5,3,0,9.02,3,0
2003,18,0,0,15,15,15,4,0,14,2,0
2004,17,0,0,13,13,12,2,0,8.66,3,0
2005,20,0,0,12,12,10,7,0,15.02,3,0
2006,24,0,0,11,11,10,3,1,10.76,3,10
2007,20,0,0,12,12,12,4,0,13.34,3,0
2008,21,0,0,17,17,16,1,1,8,2,0
2009,16,0,0,16,16,14,5,0,12.34,3,0
2010,19,0,0,17,17,14,4,0,13.68,3,0
2011,15,0,0,8,8,7,3,0,10.02,3,0
2012,26,0,0,11,11,10,7,1,15.33,3,0
2013,27,0,0,10,10,8,5,1,13.34,3,0
2014,23,0,0,17,17,13,3,1,10.68,3,0
