Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,33,1,12,16,50,48,23,5,24.54,3,20
1984,41,2,12.65,17,39,39,19,6,26.59,3,19
1985,45,1,14,15,50,50,23,8,24.46,3,39
1986,35,1,13.7,17,48,45,21,8,24.7,3,20
1987,33,1,15,16,60,57,28,7,24.34,3,0
1988,31,1,14.4,15,56,56,27,10,24,2,50
1989,47,3,16.75,16,62,59,28,7,35,3,41
1990,36,1,14,16,45,44,23,5,24.1,3,21
1991,38,5,13.7,18,54,49,25,12,34.34,3,0
1992,31,1,13.6,17,54,53,20,10,28.52,3,18
1993,43,3,15,15,63,61,26,7,31.32,3,10
1994,40,2,10.7,18,46,46,18,7,23.02,3,0
1995,30,0,14.7,18,65,65,29,6,24.02,3,0
1996,34,2,17,14,63,59,35,10,28.32,3,10
1997,34,2,16,16,59,57,30,10,25.36,3,0
1998,40,2,13.7,18,61,59,24,7,27.34,3,0
1999,29,0,15,15,76,74,31,8,27.32,3,10
2000,51,2,15,17,70,63,28,8,29.33,3,0
2001,35,2,13,17,61,54,31,7,25.7,3,0
2002,30,0,14.7,18,56,52,24,5,22,2,0
2003,36,5,14,17,56,51,29,9,35,1,0
2004,42,3,13.65,18,62,60,22,6,29.64,3,0
2005,34,1,15,17,67,65,33,7,27.34,3,0
2006,36,1,13.2,17,67,60,24,7,25,2,10
2007,33,3,14,17,65,55,26,8,29.36,3,0
2008,43,1,15.65,18,70,60,31,11,27,2,0
2009,45,1,9,16,60,50,15,6,29,2,0
2010,35,2,14,16,72,64,31,7,23.02,3,0
2011,40,3,12,17,54,53,24,11,29.68,3,0
2012,34,1,16,17,71,66,30,9,26.33,3,0
2013,41,3,14,15,54,49,24,7,30.06,3,0
2014,46,2,17,13,72,65,37,6,25.38,3,0
