Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,18,0,6,16,21,21,11,0,15.54,3,20
1984,22,0,0,16,16,13,9,2,17.65,3,19
1985,23,0,7.3,16,28,27,12,1,17.73,3,39
1986,32,1,2.7,17,24,22,10,4,21.54,3,20
1987,24,0,7,16,31,28,15,2,18,2,0
1988,22,0,11,13,38,37,19,2,17,2,50
1989,24,0,11.75,16,44,43,17,5,21,1,41
1990,23,0,5.75,17,26,26,10,2,20,2,21
1991,22,0,1.4,18,18,18,10,3,20.34,3,0
1992,31,1,8.6,17,28,26,13,2,16.6,3,18
1993,25,0,8.2,17,40,39,12,2,18.32,3,10
1994,21,0,2,17,23,22,10,1,16,2,0
1995,29,0,9,15,45,44,14,1,18.34,3,0
1996,24,0,8.4,17,29,29,16,4,21,2,10
1997,18,0,9.7,18,35,34,15,0,17,1,0
1998,27,0,11,17,43,40,21,5,21.34,3,0
1999,30,0,12,13,49,46,18,2,20,2,10
2000,24,0,6.65,18,37,34,13,3,19.99,3,0
2001,20,0,9.7,18,43,40,16,0,17.34,3,0
2002,28,0,9,15,31,29,13,2,17.68,3,0
2003,28,0,8,17,39,38,16,3,19.36,3,0
2004,20,0,8,16,29,29,13,0,18,2,0
2005,36,1,7,17,42,37,12,2,18,2,0
2006,24,0,7.2,17,32,28,11,1,17.44,3,10
2007,30,0,8,17,40,37,13,4,25.02,3,0
2008,22,0,10,17,48,42,17,1,18,2,0
2009,18,0,8,17,43,35,13,0,16,2,0
2010,20,0,10.7,18,42,39,18,0,19,1,0
2011,28,0,2.7,18,28,24,10,3,19.36,3,0
2012,25,0,11,17,46,40,20,4,21,1,0
2013,28,0,9.7,18,38,34,14,2,18.68,3,0
2014,27,0,10.7,18,42,41,18,2,20,2,0
