Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,9.269728661,0,0,1,1,1,0,0,0,1,44
1984,0,0,0,0,0,0,0,0,0,0,28
1985,7.087554455,0,0,1,1,1,0,0,0,1,40
1986,0,0,0,0,0,0,0,0,0,0,28
1987,6.603322029,0,0,3,3,3,0,0,1.01483933,3,13
1988,7.066402435,0,0,4,4,4,0,0,1.986395375,3,52
1989,3.080620766,0,0,3,3,1,0,0,0.255578365,3,30
1990,0,0,0,0,0,0,0,0,0,0,35
1991,0.39973703,0,0,1,1,0,0,0,0,1,9
1992,6.995142937,0,0,1,1,1,0,0,0,1,3
1993,7.31397295,0,0,4,4,4,0,0,4.527930784,3,17
1994,53.25056839,1,0,3,3,3,2,1,2.38494957,3,9
1995,10.90405083,0,0,4,4,4,2,0,3.991131605,3,7
1996,3.436568022,0,0,1,1,1,0,0,0,1,0
1997,13.09742928,0,0,2,2,2,2,0,0,2,4
1998,1.00020802,0,0,1,1,1,0,0,0,1,8
1999,14.98902702,0,0,8,8,7,1,0,3.671522274,3,2
2000,0,0,0,0,0,0,0,0,0,0,0
2001,10.99149418,0,0,1,1,1,1,0,0,1,2
2002,4.100739002,0,0,2,2,1,0,0,0,2,0
2003,72.14417267,1,0,2,2,2,1,1,0,2,1
2004,0,0,0,0,0,0,0,0,0,0,1
2005,1.999688506,0,0,1,1,1,0,0,0,1,1
2006,11.9941082,0,0,2,2,2,1,0,0,2,0
2007,13.98917484,0,0,5,5,4,1,0,5.997179565,3,0
2008,6.994587421,0,0,3,3,2,0,0,0.230821377,3,0
2009,5.559506893,0,0,1,1,1,0,0,0,1,2
2010,6.994587421,0,0,4,4,4,0,0,1.679433296,3,0
2011,0,0,0,0,0,0,0,0,0,0,1
2012,0,0,0,0,0,0,0,0,0,0,0
2013,0.499614179,0,0,1,1,0,0,0,0,1,0
2014,24.68891907,0,0,4,4,4,1,1,2.370032654,3,2
