Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,134.9791412,6,14.66783772,16,49,45,24,10,44.12571114,3,44
1984,49.63496399,2,11.60715933,16,42,42,20,3,21.27545284,3,28
1985,78.92164612,6,22.22389507,16,80,79,40,17,43.08020126,3,40
1986,41.09723282,5,13.08585739,16,45,45,27,11,37.13815002,3,28
1987,73.24912262,4,16.22202291,17,67,65,29,13,44.22827301,3,13
1988,49.84677887,4,14.10338221,15,63,62,22,10,34.06092316,3,52
1989,69.20975494,3,9.214113998,16,58,56,15,5,34.67010773,3,30
1990,47.7126236,2,9.641979313,16,46,44,15,6,25.46630203,3,35
1991,35.41534805,2,6.449681497,17,48,43,8,5,23.81727186,3,9
1992,28.856884,0,6.970278096,18,59,55,11,4,21.79964046,3,3
1993,38.59259796,3,14.64537582,17,70,68,31,9,28.9867374,3,17
1994,32.17124939,1,8.296219873,17,50,43,11,4,23.43320122,3,9
1995,46.51025772,2,13.78129249,17,76,73,27,8,26.53759056,3,7
1996,33.88292694,2,15.68321209,18,76,76,31,12,26.53613956,3,0
1997,58.30723572,4,14.57080183,18,65,65,28,10,39.31344139,3,4
1998,142.314209,7,6.964963961,17,51,37,10,8,46.50790382,3,8
1999,210.4853363,4,7.41177454,18,48,42,15,7,41.08457687,3,2
2000,56.80202484,3,8.803185987,18,48,38,15,6,36.16995247,3,0
2001,36.75509262,1,9.080953407,18,49,42,15,7,24.83935921,3,2
2002,26.87819099,0,2.688865304,18,25,22,4,1,16.63262783,3,0
2003,37.8772583,2,8.214638948,18,33,30,16,8,28.52619781,3,1
2004,71.71131134,3,6.673627138,18,41,38,13,7,28.65556021,3,1
2005,58.72753143,3,7.184898853,18,41,38,13,4,24.65291967,3,1
2006,44.74494934,3,5.911274481,18,38,35,9,4,25.5624213,3,0
2007,41.71157837,5,10.40082264,18,48,40,19,9,36.4332309,3,0
2008,42.71802902,4,6.6621948,18,39,34,11,6,31.85291138,3,0
2009,28.85385513,0,3.967014885,18,35,25,9,3,21.11885483,3,2
2010,43.89170837,5,11.2756815,18,51,46,19,11,34.84100601,3,0
2011,53.70970535,3,4.931291342,18,37,34,9,3,24.12001009,3,1
2012,60.67974472,5,7.985652947,18,50,42,13,9,33.20318058,3,0
2013,37.79279327,1,4.97006526,18,42,32,6,2,16.8788077,3,0
2014,82.76791382,5,16.55994358,18,66,64,32,10,45.46049805,3,2
