Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,5.999413013,0,0,2,2,1,0,0,0,2,44
1984,5.821539879,0,0,1,1,1,0,0,0,1,28
1985,49.90251541,1,0,3,3,3,2,1,4.680439167,3,40
1986,36.10839081,1,0,5,5,5,2,2,5.712605767,3,28
1987,34.92961502,1,0,8,8,6,3,1,7.226857047,3,13
1988,27.99813843,0,0,13,13,12,4,2,18.77224833,3,52
1989,9,0,0,6,6,4,0,0,4.884497757,3,30
1990,0,0,0,0,0,0,0,0,0,0,35
1991,7.999890804,0,0,2,2,2,0,0,0,2,9
1992,6.299770355,0,0,4,4,3,0,0,1.480929609,3,3
1993,13.27766418,0,0,7,7,7,2,0,6.738927927,3,17
1994,25.9994545,0,0,6,6,6,2,1,2.300972121,3,9
1995,23.233284,0,0,9,9,9,5,3,19.26211136,3,7
1996,13.14168835,0,0,9,9,9,1,0,8.780687056,3,0
1997,8.172716141,0,0,10,10,10,0,0,5.172227879,3,4
1998,14.99944687,0,0,5,5,4,1,0,4.099871118,3,8
1999,66.99755096,2,0,10,10,10,4,3,19.67937019,3,2
2000,0,0,0,0,0,0,0,0,0,0,0
2001,62.19772339,2,0,3,3,3,2,2,2.519906616,3,2
2002,2.999888897,0,0,2,2,1,0,0,0,2,0
2003,33.99732208,1,0,3,3,3,3,1,4.329729605,3,1
2004,9.999513626,0,0,3,3,2,0,0,0.174986158,3,1
2005,32.99878311,1,0,12,12,8,2,2,5.775062799,3,1
2006,62.19769669,1,0,9,9,8,3,1,6.797021961,3,0
2007,42.99841309,1,0,7,7,5,1,1,3.339953423,3,0
2008,12.99951839,0,0,2,2,2,1,0,0,2,0
2009,15.99941254,0,0,3,3,3,2,0,0.719771776,3,2
2010,10.07050133,0,0,3,3,3,1,0,0.679790535,3,0
2011,24.99179649,0,0,4,4,3,1,1,2.049923998,3,1
2012,16.25756454,0,0,5,5,4,2,0,4.729237521,3,0
2013,55.9979248,1,0,6,6,4,3,1,10.53883194,3,0
2014,17.0554924,0,0,12,12,10,4,0,12.79761215,3,2
