Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,10.35019112,0,0,1,1,1,1,0,0,1,44
1984,0,0,0,0,0,0,0,0,0,0,28
1985,20.83959579,0,0,4,4,4,3,2,13.90151965,3,40
1986,3.876754761,0,0,1,1,1,0,0,0,1,28
1987,3.300231695,0,0,2,2,2,0,0,0,2,13
1988,10.12017918,0,0,3,3,3,1,0,1.667517557,3,52
1989,22.23729134,0,0,2,2,2,2,2,0,2,30
1990,2.38325119,0,0,1,1,1,0,0,0,1,35
1991,1.998441458,0,0,1,1,1,0,0,0,1,9
1992,12.98393345,0,0,2,2,1,1,0,0,2,3
1993,10.43198299,0,0,2,2,2,1,0,0,2,17
1994,30.96451187,1,0,2,2,2,1,1,0,2,9
1995,4.429359436,0,0,2,2,2,0,0,0,2,7
1996,6.350815296,0,0,1,1,1,0,0,0,1,0
1997,0.359550953,0,0,1,1,0,0,0,0,1,4
1998,11.98605347,0,0,3,3,2,1,0,0.419480921,3,8
1999,6.991956711,0,0,2,2,2,0,0,0,2,2
2000,0,0,0,0,0,0,0,0,0,0,0
2001,0,0,0,0,0,0,0,0,0,0,2
2002,3.299110174,0,0,1,1,1,0,0,0,1,0
2003,0,0,0,0,0,0,0,0,0,0,1
2004,0,0,0,0,0,0,0,0,0,0,1
2005,4.996444702,0,0,3,3,3,0,0,1.048779678,3,1
2006,0,0,0,0,0,0,0,0,0,0,0
2007,9.954115868,0,0,2,2,2,0,0,0,2,0
2008,0,0,0,0,0,0,0,0,0,0,0
2009,0,0,0,0,0,0,0,0,0,0,2
2010,6.993134022,0,0,3,3,3,0,0,0.3403281,3,0
2011,3.624994278,0,0,1,1,1,0,0,0,1,1
2012,8.992785454,0,0,1,1,1,0,0,0,1,0
2013,2.999343634,0,0,2,2,2,0,0,0,2,0
2014,8.075962067,0,0,2,2,2,0,0,0,2,2
