Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,143.8284912,3,4.033372688,16,25,25,7,5,30.68377033,3,44
1984,32.86101532,1,3.951421809,16,20,20,8,1,15.88158571,3,28
1985,40.63255692,4,11.42104082,16,29,29,18,7,34.76077896,3,40
1986,62.79198456,1,7.581031513,16,28,28,12,5,26.02237183,3,28
1987,73.52091217,2,7.330065012,17,30,30,12,6,28.06746037,3,13
1988,51.03853607,3,8.138921928,15,47,46,11,5,31.04744934,3,52
1989,33.92951965,1,4.354545403,16,40,38,2,1,8.126012344,3,30
1990,15.82280922,0,2.372035837,16,24,23,2,0,6.712246819,3,35
1991,20.83962631,0,2.995074153,17,29,26,3,1,9.077864132,3,9
1992,20.5714283,0,1.000779551,18,23,18,4,1,11.35824984,3,3
1993,40.13912582,3,9.348993921,17,40,38,16,4,28.93117886,3,17
1994,50.97377777,2,2.829176629,17,26,24,8,4,23.2719383,3,9
1995,31.73856735,1,7.605146146,17,42,41,16,3,20.29496681,3,7
1996,45.40328598,2,9.593403769,18,38,38,17,5,25.02152023,3,0
1997,29.48334122,0,7.495128727,18,38,37,11,6,24.61537624,3,4
1998,50.00337601,3,4.995450974,17,23,23,8,5,29.07597134,3,8
1999,83.92754364,1,3.001200008,18,30,28,9,2,17.34602898,3,2
2000,33.97082901,1,1.451603198,18,21,19,6,1,12.65439909,3,0
2001,66.95336151,2,2.798535681,18,21,20,9,5,21.80187714,3,2
2002,20.43384361,0,0,16,16,15,2,1,7.53069829,3,0
2003,47.9601326,1,2.751843691,18,24,19,6,2,15.34806662,3,1
2004,38.96595383,1,0,12,12,10,2,1,9.345754528,3,1
2005,41.99684143,2,0.750576288,18,22,16,3,2,10.82084098,3,1
2006,25.81623268,0,1.698735678,18,21,19,6,2,15.98439844,3,0
2007,27.6615696,0,4.620638609,18,25,24,8,1,13.1517882,3,0
2008,29.02207947,0,0,15,15,14,3,2,10.50418821,3,0
2009,39.96297836,1,0.580114186,18,21,10,1,1,6.003526783,3,2
2010,42.96092224,2,1.002086222,18,24,18,8,2,17.89188545,3,0
2011,46.95675659,1,0,15,15,12,5,3,16.69419532,3,1
2012,35.36568451,2,2.533636761,18,21,20,8,4,22.70878187,3,0
2013,59.96324158,1,0,15,15,10,4,1,16.09911354,3,0
2014,41.6396904,3,11.31391659,18,39,39,19,5,26.19641769,3,2
