Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,288.0177612,1,6.984272146,16,28,28,11,3,21.03993286,3,44
1984,49.01881027,1,3.669120789,16,21,21,9,3,20.13528595,3,28
1985,38.23095322,2,12.14729671,16,45,45,19,6,27.80007305,3,40
1986,78.84947205,2,12.24379435,16,39,39,21,7,24.96835526,3,28
1987,27.65464211,0,10.66052084,17,41,41,19,7,23.5366151,3,13
1988,84.38008881,4,15.80760698,15,75,69,26,10,35.85480759,3,52
1989,32.30375671,2,12.23791065,16,58,56,17,5,27.24316772,3,30
1990,50.40324783,2,6.074746728,16,45,43,10,2,19.07464491,3,35
1991,144.0987396,6,11.81597762,17,57,57,21,12,44.82561256,3,9
1992,23.85813904,0,9.664700651,18,54,53,17,5,21.98862101,3,3
1993,62.91431427,3,10.04539008,17,47,47,17,4,26.03030472,3,17
1994,57.16073227,3,10.35204411,17,60,59,19,4,27.08203192,3,9
1995,91.45480347,5,11.50037947,17,63,62,18,8,31.86793325,3,7
1996,51.53381348,3,9.584285545,18,50,50,16,8,27.73687027,3,0
1997,93.95982361,3,9.830486107,18,64,61,17,6,36.62052628,3,4
1998,52.33044434,2,7.293598795,17,64,57,12,2,19.07397194,3,8
1999,54.58469391,1,7.631192017,18,61,58,13,5,23.88039581,3,2
2000,27.21408463,0,4.311646557,18,48,38,7,2,18.39555866,3,0
2001,33.50721359,1,8.716531563,18,62,56,17,6,23.83914795,3,2
2002,37.90605927,3,6.386681604,18,59,54,8,4,28.04497604,3,0
2003,42.12096405,1,7.3491714,18,72,67,12,2,16.04157491,3,1
2004,44.16130447,1,5.898691416,18,52,48,8,3,18.73350382,3,1
2005,37.39022446,2,6.829558492,18,55,49,13,4,26.19094725,3,1
2006,34.08205414,2,5.066543818,18,59,54,10,5,22.95849609,3,0
2007,27.37898254,0,7.189077425,18,55,48,12,2,17.92877823,3,0
2008,39.83413315,1,9.083809042,18,66,59,15,3,19.3963714,3,0
2009,34.17937088,1,7.112289333,18,53,45,9,3,19.55387863,3,2
2010,44.05477524,2,7.507151985,18,56,50,11,3,19.13561287,3,0
2011,39.94852829,1,7.494942307,18,58,56,15,6,24.56827421,3,1
2012,28.58887482,0,9.635590458,18,71,67,14,4,23.22198299,3,0
2013,20.82230186,0,7.100296164,18,59,51,12,1,17.06006336,3,0
2014,58.91840744,2,8.658381271,18,56,54,11,5,24.88691536,3,2
