Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,39.56492233,2,6.577607679,16,30,30,10,3,25.32894588,3,44
1984,31.16147232,1,7.156779528,16,26,26,12,4,23.44544342,3,28
1985,42.7140007,3,22.43379383,16,55,55,39,18,30.26672409,3,40
1986,31.8319912,2,11.6545598,16,44,44,21,8,27.32522919,3,28
1987,78.33220673,3,11.3745338,17,47,47,21,6,29.71497696,3,13
1988,104.9702454,6,10.21829071,15,41,40,15,8,34.92916206,3,52
1989,42.02877426,1,4.700198078,16,31,23,7,2,19.98523224,3,30
1990,84.9864502,2,3.450047982,16,23,20,6,2,16.36991623,3,35
1991,19.99496269,0,2.332930052,17,28,22,2,0,9.12496314,3,9
1992,42.97930908,1,3.643279171,18,34,30,9,5,25.72880083,3,3
1993,38.47574997,2,9.007546854,17,49,46,15,6,28.54923153,3,17
1994,46.99400711,1,6.979588437,17,56,50,12,4,22.94999346,3,9
1995,45.16890717,1,8.501046085,17,48,47,15,3,20.36433451,3,7
1996,38.34332657,4,13.8956811,18,50,50,26,9,33.00491072,3,0
1997,28.12602997,0,8.516194248,18,44,43,16,8,23.63772354,3,4
1998,38.98643112,4,5.997851229,17,37,33,9,5,30.99766541,3,8
1999,48.97719574,2,4.998628521,18,38,37,13,4,20.99055176,3,2
2000,31.9836731,1,3.694010305,18,30,24,7,2,16.31623952,3,0
2001,61.97332001,2,4.998889446,18,33,26,11,8,23.99399292,3,2
2002,46.98171616,2,3.434934521,18,27,22,6,5,23.71017994,3,0
2003,27.9887085,0,2.999916077,18,28,24,10,5,25.34129934,3,1
2004,21.99084854,0,2.091754019,18,28,22,2,1,6.392592573,3,1
2005,44.97901154,2,5.386135101,18,34,30,8,5,29.33842659,3,1
2006,37.98005295,1,2.00091449,18,25,22,7,5,23.66388035,3,0
2007,64.96786499,2,11.00228891,18,37,36,21,7,27.7905616,3,0
2008,38.97854996,1,2.999615681,18,31,24,7,3,20.30814196,3,0
2009,41.94457245,1,4.625295973,18,33,28,8,2,16.352342,3,2
2010,36.98306656,1,2.998864698,18,27,23,8,2,13.9861846,3,0
2011,74.9608078,2,6.845992208,18,31,28,12,5,28.99067469,3,1
2012,44.98192215,4,6.384539723,18,32,30,11,4,34.63758282,3,0
2013,49.98402023,2,2.041985464,18,23,22,7,3,15.71369835,3,0
2014,37.98526764,2,13.84992943,18,58,57,29,9,26.025597,3,2
