Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,42,3,14.6140379,16,48,44,22,7,35.50522892,3,44
1984,72.42929077,3,17.47201347,16,62,62,36,13,37.06670471,3,28
1985,60.07587814,5,20.93010159,16,73,73,46,18,34.18681534,3,40
1986,50.83722687,3,14.19550133,16,51,46,24,7,29.17497566,3,28
1987,46.74742508,3,15.22555609,17,64,61,32,6,29.3797477,3,13
1988,77,7,15.76642303,15,75,66,25,12,50.72409279,3,52
1989,32.76917267,1,9.374150085,16,50,37,15,4,24.64,3,30
1990,42,3,9.622635698,16,38,34,13,4,32.34798042,3,35
1991,39,1,9.489999676,17,51,39,15,7,23.43,3,9
1992,39.15611649,4,7.702541447,18,53,39,15,5,33.22,3,3
1993,48.45156479,2,12.6671844,17,73,67,25,6,28.59196859,3,17
1994,35.07824326,1,12.30902424,17,64,55,21,7,25.85447273,3,9
1995,272.1959839,2,12.00301352,17,75,75,28,8,26.83259829,3,7
1996,56.54483795,5,16.99184332,18,74,74,36,13,32.58226648,3,0
1997,68.43078613,10,14.30371342,18,76,74,29,13,49.58299728,3,4
1998,50,5,4.188406897,17,46,37,10,6,35,2,8
1999,53,3,9,17,57,46,17,8,35.28,3,2
2000,31,1,5.254652476,18,42,34,6,1,14.32,3,0
2001,62,6,15,17,44,35,21,15,41.60000046,3,2
2002,59,7,6.822812223,18,34,31,15,8,45.68,3,0
2003,55,2,8.47998929,18,45,42,14,3,22.06181889,3,1
2004,48,6,11.33892512,18,52,44,19,9,40.35,3,1
2005,67,3,8.947046995,18,46,42,17,5,27.85,3,1
2006,33,1,13.9820735,18,63,53,22,8,26.02,3,0
2007,99,5,11.7750618,18,64,58,22,8,39,2,0
2008,51,2,9.798834991,18,56,50,17,6,28.29643789,3,0
2009,35,1,7.812528419,18,56,48,12,4,24.08,3,2
2010,40,3,10.20738058,18,63,62,19,5,28.12685246,3,0
2011,23,0,9.440174818,18,49,48,14,7,22.31208153,3,1
2012,45,2,11.42470894,18,75,65,22,3,21.43001875,3,0
2013,33,2,10,17,65,56,17,4,22.50839787,3,0
2014,60,9,21.56717834,18,79,79,43,20,36.7434761,3,2
