Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,7.185843468,0,0,2,2,2,0,0,0,2,44
1984,0,0,0,0,0,0,0,0,0,0,28
1985,0,0,0,0,0,0,0,0,0,0,40
1986,26.91604805,0,0,3,3,2,2,1,0.451047944,3,28
1987,2.313970089,0,0,2,2,2,0,0,0,2,13
1988,62.82399368,1,0,10,10,10,4,2,15.56124413,3,52
1989,22.07829475,0,0,3,3,3,2,1,3.652565918,3,30
1990,3.56573844,0,0,1,1,1,0,0,0,1,35
1991,9.430574417,0,0,1,1,1,0,0,0,1,9
1992,7.149734497,0,0,4,4,4,0,0,3.143991568,3,3
1993,7.596741676,0,0,5,5,4,0,0,1.572635095,3,17
1994,18.69981194,0,0,9,9,9,2,0,7.926836128,3,9
1995,13.91934109,0,0,6,6,6,3,0,10.71022168,3,7
1996,13.04687309,0,0,3,3,3,1,0,1.747999277,3,0
1997,7.272967339,0,0,8,8,6,0,0,4.170821552,3,4
1998,5.250087738,0,0,7,7,5,0,0,4.334151754,3,8
1999,31.48069,1,0,11,11,7,2,1,3.520200806,3,2
2000,4.64658308,0,0,2,2,2,0,0,0,2,0
2001,6.511483669,0,0,3,3,3,0,0,0.382691789,3,2
2002,5.167220116,0,0,3,3,3,0,0,1.059314494,3,0
2003,3.989919186,0,0,7,7,6,0,0,2.07001009,3,1
2004,6.110218525,0,0,2,2,1,0,0,0,2,1
2005,2.355025291,0,0,3,3,2,0,0,0.227164224,3,1
2006,6.430454254,0,0,6,6,5,0,0,2.815210257,3,0
2007,20.48536301,0,0,9,9,8,2,1,9.009717884,3,0
2008,3.974606276,0,0,1,1,1,0,0,0,1,0
2009,7.982257843,0,0,3,3,3,0,0,1.067824745,3,2
2010,11.72760487,0,0,9,9,8,1,0,6.54111414,3,0
2011,3.65628624,0,0,1,1,1,0,0,0,1,1
2012,8.10867691,0,0,6,6,6,0,0,4.815723729,3,0
2013,8.416761398,0,0,6,6,5,0,0,6.001606932,3,0
2014,29.90574646,0,0,8,8,8,1,1,7.368146973,3,2
