Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,24.61239052,0,4.869747448,16,33,33,7,2,17.28955017,3,44
1984,29.18023491,0,2.123525906,16,17,17,6,3,17.16976475,3,28
1985,141.3321381,3,11.44849081,16,40,40,20,7,33.71349091,3,40
1986,60.7874527,2,7.603140736,16,31,31,14,9,27.82649712,3,28
1987,55.20376587,3,10.06195464,17,43,43,17,5,25.70858772,3,13
1988,75.39995575,2,17.31428833,15,51,51,25,10,29.25899765,3,52
1989,33.54198837,1,6.076162434,16,44,44,5,2,16.86738693,3,30
1990,12.2605114,0,2.814759803,16,21,21,1,0,6.364458189,3,35
1991,66.49517822,1,2.65499934,17,26,26,5,1,15.1169896,3,9
1992,55.79355621,1,4.334527111,18,37,37,4,2,11.39616428,3,3
1993,96.00585938,1,13.28813767,17,49,49,22,5,22.6019047,3,17
1994,24.51702499,0,4.781108356,17,34,31,5,1,12.7731271,3,9
1995,52.54114914,2,7.15194757,17,33,32,10,6,22.43402359,3,7
1996,28.04782867,0,6.936840773,18,40,40,12,3,18.85180775,3,0
1997,29.24741936,0,5.738675117,18,36,36,10,4,21.15630959,3,4
1998,56.94771194,1,1.00011453,17,21,17,5,3,17.75483711,3,8
1999,48.92887497,3,3.051853752,18,28,26,10,6,30.31640457,3,2
2000,38.96757126,1,1.999785131,18,24,21,6,3,22.94413549,3,0
2001,54.92582703,3,2.000505805,18,27,22,8,3,23.90937347,3,2
2002,115.8433075,1,1.669116342,18,21,19,2,2,5.883385029,3,0
2003,91.88327789,3,5.157384872,18,28,26,13,5,31.81151676,3,1
2004,32.98640823,1,0.848732501,18,19,16,3,1,10.33801918,3,1
2005,27.95862007,0,4.534575582,18,32,27,7,2,15.33132901,3,1
2006,59.91407394,3,3.396003222,18,26,23,6,3,21.79795536,3,0
2007,44.97519684,1,2.701945591,18,24,21,11,4,21.4949435,3,0
2008,29.95799446,0,2.650583959,18,28,25,7,4,23.65429472,3,0
2009,33.95188522,1,0,12,12,12,4,1,12.42486732,3,2
2010,48.93655014,2,1.85789696,18,20,20,7,4,22.37249897,3,0
2011,39.96757507,1,0,17,17,15,6,2,13.33018007,3,1
2012,44.57206726,1,1.57160185,18,19,19,8,2,17.73004261,3,0
2013,53.93989182,1,0,16,16,16,6,2,19.34331081,3,0
2014,31.92557335,1,13.82293224,18,51,50,25,5,23.7232045,3,2
