Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,64.80757141,1,6.479349613,16,27,27,11,4,22.69088997,3,44
1984,20.26311684,0,7.430765343,16,27,27,11,1,16.65196991,3,28
1985,53.01873016,2,13.23419733,16,50,50,24,6,27.82868366,3,40
1986,46.53939056,3,10.08044386,16,35,35,17,3,26.40224731,3,28
1987,52.70310593,2,6.706806135,17,37,35,14,5,29.07834467,3,13
1988,45.65600586,3,11.98784542,15,39,39,19,4,31.36221951,3,52
1989,35.80272293,1,10.5418787,16,50,49,17,4,24.56190575,3,30
1990,29.90049171,0,2.35209105,16,19,18,6,4,23.01371973,3,35
1991,80.32286072,2,8.920649385,17,44,43,15,3,18.16528769,3,9
1992,26.95159912,0,2.991132855,18,25,24,8,1,15.28451143,3,3
1993,53.31184006,3,9.781968546,17,52,52,16,4,36.05312769,3,17
1994,23.75091743,0,6.130270076,17,39,38,7,1,16.08472394,3,9
1995,26.93711472,0,5.329873037,17,43,43,7,1,13.80714152,3,7
1996,38.1490097,2,10.174826,18,51,51,19,3,19.20293451,3,0
1997,126.3920975,2,9.60408535,18,36,34,17,5,26.64061176,3,4
1998,48.99697495,1,2.995211053,17,27,22,10,5,21.96104267,3,8
1999,30.63337517,1,9.497434044,18,49,49,14,4,21.71565422,3,2
2000,58.86608124,1,7.034092784,18,39,39,11,2,17.13930141,3,0
2001,76.87796783,1,3.989594793,18,28,24,6,3,18.25723396,3,2
2002,36.92880249,1,1.771323562,18,23,20,4,2,15.00245865,3,0
2003,41.89005661,2,6.893278241,18,35,34,10,5,23.3318079,3,1
2004,26.91332245,0,3.551989198,18,24,21,8,1,15.63030462,3,1
2005,27.29885292,0,9.282679796,18,59,58,17,2,15.81104193,3,1
2006,60.80511475,3,7.979595804,18,39,36,12,6,32.3529266,3,0
2007,25.93194008,0,7.267289257,18,32,32,8,3,17.66609226,3,0
2008,41,1,7.057490897,18,31,29,11,2,18.64357872,3,0
2009,19.93566895,0,6.991358757,18,33,32,13,0,15.33036171,3,2
2010,44.88220596,1,2.794953918,18,29,23,9,5,25.01353085,3,0
2011,52.83795547,3,5.714527369,18,25,25,10,6,29.41620283,3,1
2012,46.98242188,1,4.152287149,18,22,21,9,2,16.02882776,3,0
2013,52.83060455,2,5.243008995,18,28,26,11,5,27.324422,3,0
2014,29.01758957,0,8.738125801,18,40,39,15,4,21.8644606,3,2
