Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,1.444074154,0,0,3,3,1,0,0,0.601091076,3,44
1984,4.403017521,0,0,5,5,4,0,0,2.01660615,3,28
1985,6.397045135,0,0,8,8,5,0,0,3.575764475,3,40
1986,7.000004292,0,0,5,5,4,0,0,2.4598879,3,28
1987,26.56231308,0,0,6,6,6,1,1,2.309202678,3,13
1988,8.316156387,0,0,3,3,3,0,0,0.874665997,3,52
1989,16.99980164,0,0,3,3,3,2,0,1.279985046,3,30
1990,28.9996624,0,0,5,5,3,1,1,2.074533846,3,35
1991,0.574737966,0,0,1,1,0,0,0,0,1,9
1992,53.44975662,1,0,9,9,5,2,1,3.169053702,3,3
1993,5.348159313,0,0,9,9,4,0,0,2.327369282,3,17
1994,3.022399187,0,0,7,7,6,0,0,1.929001347,3,9
1995,2.548704863,0,0,2,2,1,0,0,0,2,7
1996,7.315736294,0,0,13,13,10,0,0,3.405043564,3,0
1997,39.99954605,2,0,11,11,10,2,2,6.139498167,3,4
1998,1.862805843,0,0,5,5,1,0,0,0.999988317,2,8
1999,89.99895477,3,0,11,11,10,5,5,32.15962555,3,2
2000,65.99922943,1,0,9,9,9,4,2,14.64982917,3,0
2001,0,0,0,0,0,0,0,0,0,0,2
2002,41.99951172,1,0,4,4,3,1,1,1.624049028,3,0
2003,3.999953508,0,0,2,2,1,0,0,0,2,1
2004,61.99927902,1,0,7,7,4,3,1,9.699893284,3,1
2005,72.19915771,1,0,8,8,7,3,1,6.666457224,3,1
2006,4.999941826,0,0,5,5,3,0,0,1.441528137,3,0
2007,14.99982548,0,0,5,5,4,1,0,2.999965191,2,0
2008,21,0,0,2,2,1,1,1,0,2,0
2009,2.34538579,0,0,4,4,3,0,0,1.359984193,3,2
2010,23.99972153,0,0,5,5,4,1,1,2.339972823,3,0
2011,5.999930382,0,0,5,5,1,0,0,0.999988377,1,1
2012,11.99986076,0,0,3,3,3,1,0,0.659992329,3,0
2013,10.99987221,0,0,2,2,1,1,0,0,2,0
2014,1.460329652,0,0,4,4,1,0,0,0.462094259,3,2
