Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,107.8301392,4,14.37757635,16,52,52,25,6,37.56223892,3,44
1984,29.99287033,0,14.21367693,16,60,60,35,9,26.23152542,3,28
1985,70.34379578,4,18.37651138,16,66,66,40,12,38.33472809,3,40
1986,96.71617126,4,14.01385517,16,50,50,26,12,46.57236038,3,28
1987,47.35477829,5,17.70015345,17,60,60,31,11,37.63320583,3,13
1988,48.92446136,5,16.32061863,15,76,75,32,9,40.75721733,3,52
1989,32.77720261,1,8.770914078,16,64,63,13,2,17.30760494,3,30
1990,64.41451263,1,7.619503498,16,59,59,14,6,25.37173367,3,35
1991,26.13843727,0,8.738809156,17,73,73,12,3,19.20932352,3,9
1992,23.09916496,0,8.209116888,18,74,74,9,3,19.8584202,3,3
1993,46.14107513,2,12.78441005,17,73,72,30,5,26.24015598,3,17
1994,38.90591812,3,13.69463987,17,87,82,25,6,27.39162106,3,9
1995,40.08019638,3,13.9363368,17,73,72,28,9,31.09109392,3,7
1996,44.9120369,4,17.44987688,18,77,77,38,15,32.62457077,3,0
1997,43.45633698,7,12.8487114,18,85,84,23,13,37.09935295,3,4
1998,51.79232025,1,9.378149128,17,77,71,16,6,21.40837082,3,8
1999,35.55064392,2,11.32719421,18,87,71,22,7,27.0369548,3,2
2000,38.92237854,1,7.214621067,18,77,68,10,4,23.09497829,3,0
2001,40.65136719,2,9.668839264,18,81,77,17,5,21.80571411,3,2
2002,33.01490402,2,7.589233255,18,63,62,11,5,24.97528347,3,0
2003,22.48892784,0,7.685673237,18,74,72,13,3,19.72353544,3,1
2004,27.08334732,0,7.412875295,18,79,73,11,3,19.86617661,3,1
2005,30.69587135,1,12.70681691,18,73,67,21,5,24.49044371,3,1
2006,38.610466,3,11.78010845,18,80,75,26,7,28.65790573,3,0
2007,35.69028473,3,13.8562644,18,85,79,26,9,25.37317394,3,0
2008,36.00000381,1,8.99196372,18,88,79,13,1,15.80730008,3,0
2009,25.26695251,0,8.964307785,18,64,62,13,2,17.37683311,3,2
2010,29.74095917,0,11.22789135,18,81,77,22,4,21.52602886,3,0
2011,47.22879028,1,10.05578589,18,80,77,19,5,23.54960403,3,1
2012,31.2073822,1,11.21774044,18,76,76,24,5,23.63206757,3,0
2013,26.30706787,0,11.36542892,18,73,73,20,2,18.39446846,3,0
2014,65.77187347,4,15.99128246,18,86,84,37,10,38.17898895,3,2
