Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,143.6370697,5,13.45604734,16,31,29,17,5,41.20434471,3,44
1984,27.75229454,0,12.23182068,16,36,36,19,3,21.00750275,3,28
1985,96.64839172,5,17.99760895,16,52,52,25,13,34.78494324,3,40
1986,30.82752228,1,11.33634701,16,32,30,19,8,27.07351849,3,28
1987,89.49821472,2,10.65080729,17,56,54,19,7,25.88014252,3,13
1988,51.93575668,3,12.14549818,15,48,46,22,6,32.50956795,3,52
1989,64.95520782,4,3.929431534,16,31,27,9,6,39.8556517,3,30
1990,34.42020798,1,2.984843874,16,25,19,6,3,21.62101523,3,35
1991,26.49135208,0,2.864033914,17,35,29,4,3,15.21704993,3,9
1992,42.09992218,2,2.982328713,18,31,26,9,5,22.97255915,3,3
1993,37.14484024,2,11.61804657,17,57,54,22,4,21.73881763,3,17
1994,40.52747345,2,5.008265257,17,38,32,11,5,25.5538134,3,9
1995,30.50593948,1,10.74971032,17,61,58,18,4,20.4072579,3,7
1996,72.45136261,2,13.38450036,18,57,56,29,10,28.17052614,3,0
1997,60.82386017,4,12.18373222,18,47,45,19,6,33.74862587,3,4
1998,30.66868401,1,2.948767018,17,36,28,8,4,20.56317375,3,8
1999,53.41813278,4,6.683549595,18,44,37,10,6,37.8654718,3,2
2000,58.13764572,5,2.596771801,18,30,20,9,6,33.98670769,3,0
2001,58.96784592,4,4.518663692,18,41,27,9,5,35.69785339,3,2
2002,30.84407997,1,2.387880111,18,26,23,5,2,12.24515368,3,0
2003,36.00000381,2,7.865954638,18,34,28,13,6,28.26358461,3,1
2004,31.45264816,1,0.832684904,18,22,17,5,1,12.11813326,3,1
2005,52.75878525,2,4.203800917,18,34,24,12,6,24.57595158,3,1
2006,27.4323101,0,2.9574296,18,33,26,10,4,24.41684959,3,0
2007,49.07814789,4,12.94636717,18,41,35,20,11,34.01270973,3,0
2008,30.63252068,1,4.881549621,18,37,28,8,3,17.48539639,3,0
2009,49.99682999,1,2.915727139,18,30,21,9,2,16.79011444,3,2
2010,23.59903717,0,4.768227673,18,34,28,10,2,18.14640564,3,0
2011,44.71884537,1,3.066171408,18,28,20,5,1,12.31625638,3,1
2012,61.07518387,6,7.657284093,18,36,31,12,6,36.92489258,3,0
2013,60.12091064,3,2.777431631,18,24,20,6,3,28.79753204,3,0
2014,25.56457329,0,15.70554962,18,60,57,34,13,24.1502726,3,2
