Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,131.3931732,1,0,5,5,5,1,1,3.498773017,3,44
1984,2.551822186,0,0,1,1,1,0,0,0,1,28
1985,69.62358856,1,0,8,8,8,2,1,7.757013044,3,40
1986,25.17660904,0,0,7,7,7,1,1,6.987730484,3,28
1987,36.72127151,1,0,16,16,16,7,2,19.15295502,3,13
1988,31.06885147,1,4.507043219,15,19,19,7,3,21.59550003,3,52
1989,10.07540226,0,1.210755348,16,18,17,1,0,7.286200733,3,30
1990,8.034650803,0,0,4,4,4,0,0,2.851283261,3,35
1991,16.98427963,0,0,7,7,6,1,0,3.360092082,3,9
1992,22.77252579,0,0,12,12,12,2,1,7.766128445,3,3
1993,90.0605011,1,0,11,11,11,4,3,18.49937343,3,17
1994,13.53955269,0,0,16,16,16,2,0,8.450702734,3,9
1995,20.59899712,0,0,11,11,11,3,1,9.160125828,3,7
1996,27.54026222,0,1.64441247,18,19,19,5,2,13.21887091,3,0
1997,22.35485268,0,0,17,17,16,1,1,6.937413864,3,4
1998,15.94175529,0,2.874671817,17,24,24,6,0,13.01299139,3,8
1999,34.42590714,2,4.839047146,18,28,28,7,3,18.9949144,3,2
2000,7.848117352,0,0,10,10,9,0,0,5.217839212,3,0
2001,46.74046326,1,0.920752335,18,18,18,3,1,10.24433704,3,2
2002,17.74563408,0,0,12,12,11,1,0,7.99764308,3,0
2003,63.80580902,1,3.264762938,18,24,23,7,1,11.72241988,3,1
2004,14.42768002,0,0,12,12,11,2,0,7.48546195,3,1
2005,19.55754089,0,0,14,14,13,6,0,12.11318407,3,1
2006,9.326398849,0,0,16,16,16,0,0,6.810893898,3,0
2007,19.94034195,0,3.616077685,18,19,19,9,0,13.02692684,3,0
2008,6.188719749,0,0,11,11,11,0,0,4.062636318,3,0
2009,17.97560501,0,0,9,9,9,3,0,9.659135513,3,2
2010,28.64096451,0,0,13,13,13,2,1,7.478981791,3,0
2011,6.777332783,0,0,11,11,10,0,0,4.762838483,3,1
2012,40.70498276,1,0,12,12,11,6,2,12.69517592,3,0
2013,19.50603104,0,0,14,14,14,5,0,13.34620613,3,0
2014,18.18582535,0,2.648737383,18,20,20,2,0,9.695335617,3,2
