Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,138.5817566,6,14.8770176,16,63,59,22,8,57.96879684,3,44
1984,38.71085739,1,9.840604591,16,37,36,16,2,19.46662602,3,28
1985,86.61859894,7,17.77587814,16,63,62,29,15,42.81111191,3,40
1986,47.9460144,5,14.06432972,16,56,56,27,12,30.82547188,3,28
1987,75.50159454,4,14.46479092,17,71,68,25,13,44.3459026,3,13
1988,66.87036896,4,13.77753201,15,78,75,25,8,33.06685226,3,52
1989,43.14705276,1,5.993972969,16,69,63,8,1,13.53049343,3,30
1990,22.57546997,0,6.394813752,16,64,62,7,1,12.85619899,3,35
1991,21.84718704,0,4.985695004,17,68,55,7,1,12.73355219,3,9
1992,37.7798233,1,6.523471546,18,66,59,7,2,14.30372715,3,3
1993,37.51324081,2,11.66970801,17,58,55,23,6,24.61496702,3,17
1994,49.42817307,1,8.019759989,17,68,64,13,4,23.56924555,3,9
1995,32.75268173,1,12.91172471,17,76,73,29,7,24.13136618,3,7
1996,44.89445877,1,13.56287051,18,69,69,33,6,24.65114826,3,0
1997,56.50797272,2,10.53791532,18,73,68,19,7,27.39588097,3,4
1998,68.92202759,2,7.928719568,17,75,69,15,5,27.8019416,3,8
1999,53.57950974,2,8.11874237,18,80,76,13,4,25.78978661,3,2
2000,44.7398262,1,8.030960345,18,79,72,15,5,22.37575392,3,0
2001,24.9181366,0,7.160164833,18,61,57,10,3,19.08530648,3,2
2002,20.78247261,0,5.907250977,18,57,52,10,1,16.11973482,3,0
2003,44,1,8.107122898,18,68,66,15,4,21.2708663,3,1
2004,22.22692871,0,6.321898461,18,66,62,8,2,18.20909357,3,1
2005,34.94528198,3,7.204538703,18,66,61,9,4,30.2255702,3,1
2006,22.23309517,0,9.455335808,18,70,69,14,1,18.1723872,3,0
2007,30.65201759,2,10.38573771,18,60,57,19,7,27.00782974,3,0
2008,32.01578903,1,6.291699529,18,73,68,8,2,17.43444284,3,0
2009,34.98012924,1,6.045363713,18,51,45,11,3,18.18687912,3,2
2010,23.58755493,0,9.458145428,18,79,76,17,4,20.68394909,3,0
2011,29.17366982,0,7.424947977,18,60,52,11,2,15.59989853,3,1
2012,39.56693268,1,8.902707529,18,77,73,16,5,23.06767172,3,0
2013,22.8984642,0,5.445520496,18,55,50,12,4,21.68386532,3,0
2014,85.14006042,4,15.50943852,18,81,80,32,12,34.38223846,3,2
