Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,77.9283905,2,5.829653502,16,30,28,8,3,19.88021912,3,44
1984,31.18323898,1,6.927262354,16,23,23,10,2,19.38932274,3,28
1985,82.82026672,5,12.80430603,16,49,49,23,10,36.39894943,3,40
1986,40.02446747,2,5.306364155,16,19,19,11,4,25.4942226,3,28
1987,67.93215179,4,13.23789668,17,40,39,22,11,31.2171525,3,13
1988,55.15727234,1,9.119418144,15,46,41,13,4,24.82017879,3,52
1989,17,0,4.002114487,16,28,26,6,0,11.13082825,3,30
1990,14.94724178,0,2.375334215,16,18,17,2,0,8.549265323,3,35
1991,14,0,1.19073422,17,22,18,5,0,11.10194025,3,9
1992,29.28875351,0,1.862407422,18,23,19,6,1,17,2,3
1993,21.83142853,0,9.816519213,17,52,51,16,3,19.35338518,3,17
1994,83.32479858,1,5.572811842,17,37,35,9,3,20.35830807,3,9
1995,31.37048721,1,11.60547829,17,46,45,21,5,21.95664766,3,7
1996,47.4681015,3,10.45666585,18,49,48,21,4,29.89338341,3,0
1997,29.00314331,0,6.063894081,18,42,42,9,4,22.15386848,3,4
1998,37,2,5.809131861,17,29,23,11,3,19.68,3,8
1999,36,2,5.8,18,35,29,11,6,25.36,3,2
2000,38,1,0.629999992,18,20,14,7,4,22.23317995,3,0
2001,42,1,1,17,31,17,6,3,18.28571419,3,2
2002,92,3,1.640000004,18,19,18,7,4,27.78,3,0
2003,46,2,0,15,15,14,6,2,13.24673829,3,1
2004,28,0,0,14,14,12,4,1,11,2,1
2005,48,2,2,17,27,25,7,4,23.75,3,1
2006,16,0,2.7,18,32,21,7,0,14.34,3,0
2007,30,0,6.693459272,18,34,28,11,3,21.08054848,3,0
2008,45,1,1,17,24,17,5,1,15.66,3,0
2009,90,2,0.9,18,19,17,8,5,25.72,3,2
2010,15,0,1,17,23,17,5,0,11.73529467,3,0
2011,22,0,0,10,10,9,4,1,12.13182311,3,1
2012,41.79951477,3,6.967686057,18,31,31,11,4,29.52779602,3,0
2013,55,1,0.969999993,18,21,15,4,2,14.44279152,3,0
2014,30.76901245,2,9.793673134,18,46,43,17,6,26.08149513,3,2
