Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,53.49145508,4,18.77846985,16,84,82,40,12,32.77691612,3,44
1984,49.93307877,12,23.93915367,16,95,95,55,22,44.31313721,3,28
1985,49.62588501,5,19.23196068,16,95,94,52,14,39.84644844,3,40
1986,56.23052597,12,25.62353325,16,95,94,56,26,48.62237595,3,28
1987,78.30415344,7,21.02486076,17,85,85,42,18,36.72043274,3,13
1988,56.30358505,8,21.06876202,15,120,120,54,16,43.50657097,3,52
1989,34.85852051,2,18.20686913,16,109,107,59,15,27.8858963,3,30
1990,43.15589142,4,17.04104633,16,115,114,59,11,34.05976803,3,35
1991,41.57885361,2,16.36881828,17,106,105,44,9,28.54155437,3,9
1992,39.76207352,3,19.14908419,18,111,111,50,14,28.75183321,3,3
1993,40.07905579,6,21.52016745,17,121,121,55,22,35.70886276,3,17
1994,45.72340012,10,19.54873123,17,117,117,48,17,39.37434372,3,9
1995,71.7870636,8,18.13844471,17,119,119,55,15,39.55254532,3,7
1996,66.98898315,7,20.86820679,18,122,122,57,19,38.25205395,3,0
1997,45.52791977,4,16.94157219,18,104,103,38,17,33.43679039,3,4
1998,86.98780823,4,13.09705105,17,67,67,21,9,40.22939262,3,8
1999,49.28264999,4,15.54477901,18,82,80,38,13,32.29205933,3,2
2000,62.99349976,6,12.31591167,18,75,67,26,10,43.32574425,3,0
2001,58.9994278,5,12.5289175,18,60,55,22,10,37.51977036,3,2
2002,38.9977684,2,17.14932842,18,83,82,39,9,26.58626602,3,0
2003,43.60465622,2,18.00000191,16,97,93,40,12,28.03271303,3,1
2004,46.99859238,3,8.999895573,18,61,55,17,6,30.69934263,3,1
2005,66.99941254,5,14.49971032,18,67,57,24,10,38.3478096,3,1
2006,74.99934387,8,19.69988804,18,68,63,32,17,48.41941795,3,0
2007,57.99924088,4,15.99984436,18,82,77,34,8,33.600177,3,0
2008,40.99961472,3,13.55154562,18,78,73,32,7,29.96965239,3,0
2009,55.99845886,3,14.38137398,18,90,89,38,8,28.40343826,3,2
2010,32.60658264,3,17.09474087,18,111,111,50,11,29.30158882,3,0
2011,65.62353516,4,15.06469321,18,86,85,43,10,36.38094997,3,1
2012,38.30156708,4,18.95085268,18,115,114,60,16,32.04858734,3,0
2013,38.98253632,2,17.47102108,18,111,111,57,10,28.23675903,3,0
2014,45.39016342,3,19.67023735,18,120,120,67,17,29.25707291,3,2
