Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,35.6072998,1,8.228401661,18,67,65,14,2,19.54585281,3,0
1984,42.44364929,3,7.195748591,18,50,46,7,4,27.37539316,3,0
1985,31.08336258,1,8.859061432,18,63,63,14,2,15.61923977,3,0
1986,37.8291626,2,10.0352602,17,60,59,20,6,28.76384521,3,0
1987,38.41912842,2,9.783847332,18,86,86,16,4,22.99228058,3,0
1988,25.1874733,0,10.87081418,18,81,80,20,3,19.8834742,3,0
1989,25.7883625,0,10.86841679,18,78,76,21,3,18.71563923,3,0
1990,21.22105408,0,8.511422157,17,54,54,13,1,15.2484417,2,0
1991,21.01092529,0,9.222957611,18,72,71,16,1,18.43374634,2,0
1992,34.91100311,1,8.709596968,18,65,65,13,2,16.99508756,3,0
1993,38.39324951,2,12.25949669,18,75,73,27,8,26.83037895,3,0
1994,34.34837723,1,10.64946184,18,63,63,23,4,20.89230221,3,0
1995,30.42133141,1,8.427192688,17,75,75,16,1,15.78509583,3,0
1996,20.67185593,0,10.19512892,18,79,79,18,1,16.01711654,3,0
1997,20.08239365,0,9.572809505,18,82,82,15,1,16.89056561,3,0
1998,25.01935768,0,11.0887188,18,77,77,23,3,19.79802353,3,0
1999,25.54123878,0,10.73799334,18,75,75,26,4,20.47211205,3,0
2000,34.19042587,2,12.28758931,18,71,71,25,6,23.42384987,3,0
2001,30.96858025,1,13.05860891,18,66,66,24,7,23.33933292,3,0
2002,23.15229797,0,9.528397083,18,65,64,17,2,18.31764263,3,0
2003,17.01351357,0,11.35354376,18,68,68,23,0,14.89052486,2,0
2004,28.27770805,0,7.699520087,18,80,79,8,1,13.84628274,3,0
2005,23.05321884,0,9.47990427,18,69,69,13,4,20.39477226,3,0
2006,19.66820908,0,9.180453396,18,73,72,14,0,16.60692371,3,0
2007,38.15911484,1,12.95186481,18,71,71,25,7,25.89320595,3,0
2008,21.21926689,0,11.35644903,18,80,78,20,2,18.12095448,3,0
2009,33.64951706,1,7.976610565,18,66,66,13,2,13.85501287,3,0
2010,39.95256805,1,11.48644638,18,73,73,21,3,19.29192345,3,0
2011,23.47073746,0,10.86063938,18,62,62,20,3,19.54731152,3,0
2012,20.20391655,0,11.65919857,18,89,88,29,1,19.39598274,2,0
2013,32.34331131,2,9.190743351,18,62,62,13,4,23.90582783,3,0
2014,30.74648857,1,9.879276276,17,81,81,17,3,20.16255222,3,0
