Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,13.13780022,0,0,5,5,4,1,0,3.41957305,3,0
1984,4.794163704,0,0,9,8,6,0,0,2.820205405,3,0
1985,7.846632004,0,0,6,6,6,0,0,4.292703443,3,0
1986,18.83833122,0,0,11,11,10,1,0,4.923962955,3,0
1987,8.096168518,0,0,15,15,15,0,0,7.974569321,2,0
1988,32.09166336,1,0.24989811,18,18,16,6,3,20.1528092,3,0
1989,11.81957912,0,0,15,9,9,1,0,6.29784996,3,0
1990,9.760730743,0,0,4,4,4,0,0,1.690953212,3,0
1991,6.901059628,0,0,9,9,9,0,0,4.097852278,3,0
1992,12.71866131,0,0,11,11,11,2,0,6.438186336,3,0
1993,10.28997231,0,0,8,8,7,1,0,4.138332825,3,0
1994,19.9588356,0,0,8,8,8,4,0,12.6670989,3,0
1995,19.60503769,0,0,14,14,14,2,0,7.782418489,3,0
1996,17.61757469,0,0,10,9,9,1,0,3.679497211,3,0
1997,18.82754898,0,0,9,9,8,2,0,5.720692549,3,0
1998,8.406323433,0,0,14,14,12,0,0,5.365148468,3,0
1999,18.32834244,0,0,16,16,15,8,0,13.97646801,3,0
2000,7.400066853,0,0,6,5,5,0,0,2.245859933,3,0
2001,10.86996651,0,0,10,10,10,1,0,3.957480907,2,0
2002,12.81476021,0,0,4,4,4,1,0,3.58113121,3,0
2003,43.16848373,1,0,8,7,7,2,1,3.96151803,3,0
2004,12.3188982,0,0,5,5,5,1,0,3.383000536,3,0
2005,17.63265038,0,0,8,8,7,2,0,8.460776825,3,0
2006,14.63938427,0,0,13,13,11,1,0,4.789494495,3,0
2007,20.94861984,0,0,9,9,9,3,2,9.353322334,3,0
2008,6.121837616,0,0,11,11,9,0,0,4.000683558,3,0
2009,11.18048477,0,0,5,5,5,1,0,6.362547398,2,0
2010,11.77506638,0,0,13,13,12,1,0,6.381228447,2,0
2011,14.39548492,0,0,4,4,4,2,0,5.146878972,3,0
2012,12.9516964,0,0,11,11,11,1,0,6.53819747,3,0
2013,12.4796629,0,0,6,6,6,5,0,12.3674202,2,0
2014,19.76412201,0,0,14,14,14,3,0,8.587789812,3,0
