Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,3.215396643,0,0,3,3,3,0,0,0.933461924,3,0
1984,2.786706448,0,0,8,2,2,0,0,0.06527739,2,0
1985,3.101396561,0,0,9,2,2,0,0,0.000767924,3,0
1986,4.625260353,0,0,2,2,2,0,0,0,2,0
1987,5.576047897,0,0,3,2,2,0,0,0.001828182,3,0
1988,19.99880028,0,0,3,3,3,1,0,0.604650092,3,0
1989,3.203148842,0,0,8,2,2,0,0,0.010029198,3,0
1990,3.074667454,0,0,2,2,2,0,0,0,2,0
1991,3.97094512,0,0,2,2,2,0,0,0,2,0
1992,7.284003258,0,0,5,4,3,0,0,0.997970385,3,0
1993,6.802710056,0,0,6,2,2,0,0,0.013641304,3,0
1994,7.12251091,0,0,5,5,5,0,0,2.622899928,3,0
1995,3.416482925,0,0,3,2,2,0,0,0.015953591,3,0
1996,5.79754591,0,0,3,3,2,0,0,0.206637273,3,0
1997,7.88735199,0,0,4,3,1,0,0,0.087466466,3,0
1998,13.70859814,0,0,3,3,3,1,0,1.489381294,3,0
1999,3.683660269,0,0,4,4,4,0,0,2.939637899,2,0
2000,2.690186501,0,0,4,3,2,0,0,0.03712661,3,0
2001,6.118704796,0,0,1,1,1,0,0,0,1,0
2002,2.695456982,0,0,2,2,2,0,0,0,2,0
2003,2.549350739,0,0,3,2,2,0,0,0.006147619,3,0
2004,2.587543488,0,0,2,2,2,0,0,0,2,0
2005,3.534456015,0,0,2,2,2,0,0,0,2,0
2006,2.61205864,0,0,3,2,2,0,0,0.002196056,3,0
2007,4.40735054,0,0,3,3,2,0,0,0.158420967,3,0
2008,4.649943352,0,0,2,2,1,0,0,0,2,0
2009,4.663265228,0,0,1,1,1,0,0,0,1,0
2010,4.579377174,0,0,2,2,2,0,0,0,2,0
2011,6.177890778,0,0,1,1,1,0,0,0,1,0
2012,11.27518749,0,0,3,1,1,1,0,0.001334973,3,0
2013,4.809806824,0,0,5,3,3,0,0,0.930284876,3,0
2014,6.102977276,0,0,4,4,4,0,0,2.731334839,3,0
