Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,13.45187092,0,1.033569658,18,20,18,1,0,7.307990208,3,0
1984,12.83625031,0,5.79939E-09,18,17,16,2,0,7.584784427,3,0
1985,18.30131912,0,3.348092961,18,27,24,5,0,12.2592535,3,0
1986,14.87580967,0,4.114424706,18,30,30,4,0,11.64264679,2,0
1987,21.6092701,0,3.661896467,17,33,31,3,2,12.34225443,3,0
1988,20.64773369,0,6.220768929,17,33,31,9,1,14.20030935,3,0
1989,19.81983376,0,4.082705116,18,31,31,2,0,7.93951417,3,0
1990,12.39806938,0,0,17,17,17,2,0,7.805698452,3,0
1991,18.5175457,0,4.588799381,18,28,28,10,0,12.02176844,3,0
1992,20.66107368,0,3.413135195,18,28,28,5,1,13.33196997,3,0
1993,12.29723263,0,3.560260892,18,29,28,1,0,8.081291962,3,0
1994,21.89055443,0,5.472638607,17,30,30,5,2,16.28812881,3,0
1995,16.43275642,0,5.709688902,18,36,34,5,0,12.22180244,3,0
1996,18.1270237,0,2.670186412,18,29,28,5,0,12.27454123,3,0
1997,12.12046623,0,4.203951836,17,39,35,4,0,10.54492138,3,0
1998,25.02425575,0,8.203321981,18,36,36,12,2,16.34313097,3,0
1999,27.57297707,0,6.72115202,18,38,36,9,4,22.20788788,3,0
2000,28.74402428,0,4.23341924,18,23,23,7,4,20.33622553,3,0
2001,23.84563065,0,3.246901941,18,25,25,3,1,9.995752678,3,0
2002,18.07352257,0,3.585467911,18,28,28,2,0,9.540637016,2,0
2003,31.99087334,1,3.153477669,16,42,40,6,1,13.98925686,2,0
2004,15.58666801,0,4.296261621,18,30,28,2,0,9.447421923,3,0
2005,37.58502197,1,5.01663208,17,29,29,8,1,16.79506725,3,0
2006,15.84780979,0,4.769371033,17,35,32,9,0,13.61654316,3,0
2007,28.34264755,0,6.4576015,18,33,33,8,2,13.3950419,3,0
2008,11.62459564,0,2.260886669,17,33,30,3,0,9.73176919,3,0
2009,12.66883564,0,3.560053349,18,31,26,1,0,9.219837475,3,0
2010,21.40280724,0,4.020581627,18,26,26,9,2,18.48232483,3,0
2011,19.66568947,0,4.29220829,18,23,23,3,0,9.552795906,3,0
2012,21.06943512,0,4.931579924,18,36,35,4,1,16.4597189,3,0
2013,34.63362503,1,3.81105206,18,32,31,7,3,17.16084608,3,0
2014,18.49526215,0,4.112951756,17,39,37,5,0,12.70299429,3,0
