Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,18.60476494,0,7.03599906,18,71,61,11,0,17.31678719,3,0
1984,21.01963425,0,4.664702535,18,57,56,4,1,12.90059973,3,0
1985,28.35680771,0,7.816026354,18,71,67,10,2,18.09753811,3,0
1986,30.6493988,1,7.910455227,17,58,58,10,3,17.68077194,3,0
1987,44.25161743,1,7.462200451,18,76,73,11,2,18.07021248,3,0
1988,18.51879883,0,9.196858215,18,79,71,16,0,16.35866924,3,0
1989,25.50139618,0,10.5208744,18,77,76,18,3,17.93424664,3,0
1990,18.90995598,0,6.675526524,18,46,45,6,0,14.18248137,3,0
1991,24.82136917,0,7.850536346,17,69,65,9,3,19.00420471,3,0
1992,16.99030685,0,7.460059023,18,65,62,5,0,14.24619715,3,0
1993,28.62268639,0,9.933081818,18,69,66,18,3,19.17253815,3,0
1994,45.7105751,1,10.0206214,18,72,67,18,3,20.18795715,3,0
1995,17.5639534,0,7.200869179,18,70,69,5,0,11.82979998,3,0
1996,21.48810959,0,8.383702707,18,77,74,11,1,15.52182923,3,0
1997,22.9733963,0,9.013746262,19,96,90,15,3,17.72688713,3,0
1998,19.58181953,0,11.04604969,18,79,79,20,0,17.2113586,3,0
1999,17.4806118,0,9.724112511,18,73,73,17,0,16.12995506,3,0
2000,35.12318802,3,10.47603626,18,59,59,20,6,24.46132044,3,0
2001,20.25047684,0,9.243147087,18,71,71,16,1,15.28624046,3,0
2002,26.71511269,0,8.465916348,18,58,58,15,2,15.89018183,3,0
2003,18.6001606,0,8.065474463,18,66,66,10,0,15.90653482,3,0
2004,17.73742485,0,5.60508585,17,70,68,3,0,10.10597234,3,0
2005,21.0806427,0,8.607625008,17,68,68,14,1,16.33320896,3,0
2006,32.4757843,1,8.799793243,17,72,72,13,1,14.2096788,3,0
2007,27.27709198,0,9.418812466,18,76,76,17,2,16.67244614,3,0
2008,17.03810883,0,7.307789326,17,88,84,3,0,10.37896806,3,0
2009,24.63223076,0,6.142832422,18,59,58,10,1,15.6196633,3,0
2010,22.56321144,0,7.571728849,18,75,75,9,1,14.63753237,3,0
2011,21.82660866,0,10.53811674,18,62,62,20,2,19.06480286,3,0
2012,23.16285896,0,9.19517231,17,81,80,14,2,17.48874281,3,0
2013,21.52475929,0,8.040859461,18,71,71,11,1,14.7089407,3,0
2014,25.87221909,0,7.802972746,18,86,84,11,3,19.94421806,3,0
