Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,31.53413963,2,16.11392403,18,94,92,45,10,23.49908718,3,0
1984,30.80475044,1,13.62051783,18,74,74,28,8,26.88852896,3,0
1985,35.65505219,3,15.09159422,18,99,99,36,6,28.53758831,3,0
1986,43.08686447,3,14.49187641,18,83,82,33,11,29.98184261,3,0
1987,18.26607513,0,12.31694059,18,109,108,31,0,17.11060753,3,0
1988,47.31972885,6,16.85304747,18,94,94,42,13,38.38167439,3,0
1989,52.10149002,3,15.94152842,18,84,83,35,13,29.37208969,3,0
1990,51.10432816,3,12.7895709,18,112,109,26,4,25.10861092,3,0
1991,50.37654495,3,16.82836914,18,93,93,40,8,27.88573051,3,0
1992,29.11170197,0,13.57478762,18,103,103,29,4,21.60795076,3,0
1993,42.06281662,2,14.11912327,18,87,87,41,7,28.40980404,3,0
1994,38.28644562,1,13.93064022,17,122,122,36,4,22.93141773,3,0
1995,29.29055405,0,11.28895502,18,107,107,28,3,18.03215965,3,0
1996,26.33020592,0,12.62567096,18,103,103,31,4,22.96501593,3,0
1997,34.96324158,1,13.90734749,18,116,116,38,6,23.478423,3,0
1998,35.07171631,1,16.3294075,18,96,96,37,10,26.32705048,3,0
1999,36.72206497,1,15.80971184,18,102,102,45,7,25.29800449,3,0
2000,34.95346832,1,12.30951567,18,93,93,23,6,23.57556749,3,0
2001,30.09827423,1,12.4970376,18,119,119,28,6,24.0242691,3,0
2002,28.48894119,0,15.72212362,18,110,109,42,14,25.74699211,2,0
2003,42.46682358,3,15.87137794,17,105,105,32,12,30.97735382,3,0
2004,27.7067585,0,15.65631771,15,113,111,41,4,20.24420774,3,0
2005,26.76885986,0,9.17135458,18,90,88,13,2,17.32830109,3,0
2006,25.28393936,0,9.767757416,17,112,107,17,1,15.15714689,3,0
2007,37.35213852,2,12.02909584,18,93,92,25,4,22.08753094,3,0
2008,15.5099802,0,7.854510689,18,124,122,10,0,14.17392002,3,0
2009,22.68911362,0,9.143953419,18,113,106,13,2,17.67304405,3,0
2010,30.42143822,1,13.88657885,18,122,121,33,3,20.92110096,3,0
2011,26.94688225,0,12.97885952,18,118,118,33,2,17.78508568,2,0
2012,24.06005859,0,13.69181924,18,111,111,40,4,20.4464089,3,0
2013,21.81214142,0,13.66185789,18,116,115,38,5,21.03793549,3,0
2014,25.61305809,0,13.1481822,18,120,120,41,3,20.01211033,3,0
