Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,25.52528381,0,12.57326736,18,74,69,22,1,19.14151588,3,0
1984,59.11436462,1,9.961436987,18,64,61,18,7,24.34898474,3,0
1985,31.64988899,1,10.50026503,18,78,77,20,5,21.08253685,3,0
1986,35.07802582,1,11.10738659,16,69,69,20,1,19.14064262,3,0
1987,61.59212494,1,10.6511179,18,77,75,19,2,18.21794254,3,0
1988,25.6458149,0,13.61952372,18,89,86,31,8,23.51997684,3,0
1989,28.57884216,0,10.80766668,18,94,85,22,3,19.76253033,3,0
1990,28.74098778,0,9.831493187,18,65,65,17,3,18.09033031,3,0
1991,25.20061111,0,10.90754128,18,81,79,22,3,20.85337158,3,0
1992,35.4327774,1,12.79246893,18,81,81,22,4,22.20047476,3,0
1993,39.32476425,1,13.3352725,18,78,78,28,7,25.41932026,3,0
1994,25.16420746,0,11.95900354,18,84,84,24,1,18.22241821,3,0
1995,36.25712967,1,15.93098717,18,78,75,46,7,24.93941517,3,0
1996,19.7084465,0,11.14229178,18,84,83,23,0,17.55577543,3,0
1997,19.28514862,0,11.53742237,18,106,104,25,0,14.92366901,3,0
1998,35.64315796,1,14.00624104,18,81,81,34,3,21.28818657,3,0
1999,25.82635689,0,12.656429,18,98,98,28,5,20.71810558,3,0
2000,19.73819733,0,9.593346357,18,78,78,15,0,18.52573013,2,0
2001,34.77653122,2,11.79600182,18,79,77,29,4,22.61237747,3,0
2002,36.0013504,1,14.25692806,18,75,75,27,5,23.77501701,3,0
2003,31.33830643,1,11.77912235,17,80,80,24,2,19.11804138,3,0
2004,25.67380524,0,7.747243166,18,83,83,6,1,16.07178089,3,0
2005,23.73101044,0,11.39020519,18,75,75,22,3,19.26707905,3,0
2006,30.01112556,1,10.72863674,16,94,94,20,1,16.37354115,3,0
2007,35.41892624,2,11.81790514,18,81,81,27,7,27.4921756,3,0
2008,32.61872864,1,10.22016745,18,82,82,18,3,18.7358312,3,0
2009,19.08583069,0,8.103446007,17,90,89,11,0,12.62052671,3,0
2010,29.52328491,0,13.01461124,17,86,85,29,3,19.50714737,3,0
2011,25.2353611,0,13.88541174,18,74,74,28,8,23.81885086,3,0
2012,28.76794243,0,10.24059062,18,94,94,19,1,17.32377228,3,0
2013,30.91010094,1,9.157035828,17,84,84,16,2,14.66731739,2,0
2014,32.2181282,2,13.83010674,18,96,96,28,6,25.2825898,3,0
