Year,Max daily (mm),RD>30,P95 daily (mm),RD>P95,RD>=0.1,RD>1,RD>10,RD>20,P99 daily (mm),RD>P99,# gaps
1983,0.022087818,0,0,1,0,0,0,0,0,1,0
1984,0.000186937,0,0,5,0,0,0,0,0.000186937,0,0
1985,0.355003953,0,0,1,1,0,0,0,0,1,0
1986,8.882277489,0,0,3,3,3,0,0,0.819058433,3,0
1987,5.59400177,0,0,5,5,4,0,0,1.442247629,2,0
1988,7.195291519,0,0,9,9,7,0,0,4.00368166,2,0
1989,4.853898048,0,0,4,3,1,0,0,0.100392637,3,0
1990,4.109638214,0,0,2,2,1,0,0,0,2,0
1991,7.465323448,0,0,1,1,1,0,0,0,1,0
1992,0.151421353,0,0,2,2,0,0,0,0,2,0
1993,3.044073343,0,0,6,6,2,0,0,0.460664449,3,0
1994,9.353330612,0,0,5,5,4,0,0,3.916757345,2,0
1995,6.069987297,0,0,5,4,3,0,0,1.182023621,3,0
1996,0.21296677,0,0,2,1,0,0,0,0,2,0
1997,6.97767067,0,0,6,6,3,0,0,0.707242776,3,0
1998,6.262225151,0,0,4,4,1,0,0,0.251316707,3,0
1999,10.98343086,0,0,6,6,3,2,0,3.591165392,3,0
2000,0.000718736,0,0,1,0,0,0,0,0,1,0
2001,0.410380423,0,0,1,1,0,0,0,0,1,0
2002,3.557418585,0,0,2,2,2,0,0,0,2,0
2003,4.596580505,0,0,4,4,3,0,0,1.656384815,3,0
2004,0,0,0,0,0,0,0,0,0,0,0
2005,5.859163284,0,0,4,3,3,0,0,0.561626221,3,0
2006,3.178568602,0,0,2,2,2,0,0,0,2,0
2007,7.779322147,0,0,6,6,6,0,0,6.977149963,2,0
2008,0.151610374,0,0,1,1,0,0,0,0,1,0
2009,2.294931412,0,0,3,2,2,0,0,0.000768397,3,0
2010,6.25181675,0,0,6,6,6,0,0,2.872519503,3,0
2011,0,0,0,0,0,0,0,0,0,0,0
2012,4.426019669,0,0,3,2,1,0,0,0.000466545,3,0
2013,3.864172459,0,0,8,8,8,0,0,2.368113735,3,0
2014,6.798507214,0,0,6,6,3,0,0,1.698010675,3,0
